Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Catamarca;Achalco;Catamarca;Achalco;4234;K4235XAV;
Catamarca;Achalco;Catamarca;Ayapaso;4234;K4235XAW;
Catamarca;Achalco;Catamarca;Chañar Laguna;4234;K4235XBA;
Catamarca;Achalco;Santiago del Estero;El Quillin;4234;G4234XAG;
Catamarca;Achalco;Catamarca;El Simbol;4234;K4235XAD;
Catamarca;Achalco;Catamarca;Ichipuca;4234;K4235XAG;
Catamarca;Achalco;Catamarca;Kilometro 1093;4234;K4235XBB;
Catamarca;Achalco;Santiago del Estero;Kilometro 1098;4234;G4234XAA;
Catamarca;Achalco;Santiago del Estero;Kilometro 1121;4234;G4234XAH;
Catamarca;Achalco;Catamarca;La Calera;4234;K4723XAM;
Catamarca;Achalco;Catamarca;La Quebrada;4234;K4139XAY;
Catamarca;Achalco;Santiago del Estero;Las Flores;4234;G3766XAI;
Catamarca;Achalco;Catamarca;Las Lomitas;4234;K4723XAQ;
Catamarca;Achalco;Santiago del Estero;Lavalle;4234;G4234XAD;
Catamarca;Achalco;Catamarca;Los Morteros;4234;K5340XDZ;
Catamarca;Achalco;Santiago del Estero;Mangrullo;4234;G4234XAF;
Catamarca;Achalco;Catamarca;Pozo Grande;4234;K4235XBL;
Catamarca;Achalco;Santiago del Estero;Rumi Esquina;4234;G4234XAB;
Catamarca;Achalco;Santiago del Estero;San Antonio;4234;G4201XBC;
Catamarca;Achalco;Catamarca;San Martin;4234;K4728XAK;3832
Catamarca;Achalco;Catamarca;Tapso;4234;K4235XBX;
Catamarca;Achalco;Santiago del Estero;Tonzu;4234;G4234XAC;
Catamarca;Acheral;Catamarca;Acheral;5260;K5260XAL;
Catamarca;Acheral;Catamarca;Agua Escondida;5260;K5260XAM;
Catamarca;Acheral;Catamarca;Balde;5260;K5260XBA;
Catamarca;Acheral;Catamarca;Buen Retiro;5260;K5260XAN;
