Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Chubut;28 de Julio;Chubut;28 de Julio;9107;U9107XAD;280
Chubut;28 de Julio;Chubut;Boca de la Zanja;9107;U9107XAE;
Chubut;28 de Julio;Chubut;Boca Zanja Sud;9107;U9107XAF;
Chubut;28 de Julio;Chubut;Campamento Villegas;9107;U9107XAA;
Chubut;28 de Julio;Chubut;Dolavon;9107;Buscar CPA;280
Chubut;28 de Julio;Chubut;Ebenecer;9107;U9107XAB;
Chubut;28 de Julio;Chubut;Laguna Grande;9107;U9107XAG;
Chubut;28 de Julio;Chubut;Las Chapas;9107;U9107XAH;
Chubut;28 de Julio;Chubut;Toma de los Canales;9107;U9107XAC;
Chubut;Aguada de las Tejas;Chubut;Aguada de las Tejas;9121;U9121XBM;
Chubut;Aguada de las Tejas;Chubut;Aguada del Pito;9121;U9121XBF;
Chubut;Aguada de las Tejas;Chubut;Bajada Moreno;9121;U9121XBG;
Chubut;Aguada de las Tejas;Chubut;Bajo Bartolo;9121;U9121XAA;
Chubut;Aguada de las Tejas;Chubut;Bajo del Gualicho;9121;U9121XAV;
Chubut;Aguada de las Tejas;Chubut;Bajo las Damajuanas;9121;U9121XAB;
Chubut;Aguada de las Tejas;Chubut;Blancuntre;9121;Buscar CPA;280
Chubut;Aguada de las Tejas;Chubut;Caleta Valdez;9121;U9121XAC;
Chubut;Aguada de las Tejas;Chubut;Cañadon Bagual;9121;U9121XBL;
Chubut;Aguada de las Tejas;Chubut;Cañadon Blanco;9121;U9121XBO;
Chubut;Aguada de las Tejas;Chubut;Cañadon Chileno;9121;U9121XBP;
Chubut;Aguada de las Tejas;Chubut;Carhue Niyeo;9121;U9121XBH;
Chubut;Aguada de las Tejas;Chubut;Chacay Este;9121;U9121XBN;
Chubut;Aguada de las Tejas;Chubut;Chacay Oeste;9121;U9121XBR;280
Chubut;Aguada de las Tejas;Chubut;Chasico;9121;U9121XBS;
Chubut;Aguada de las Tejas;Chubut;Colelache;9121;U9121XBJ;
Chubut;Aguada de las Tejas;Chubut;El Alamo;9121;U9121XBV;
Chubut;Aguada de las Tejas;Chubut;El Chacay;9121;Buscar CPA;
Chubut;Aguada de las Tejas;Chubut;El Escorial;9121;U9121XAZ;280
Chubut;Aguada de las Tejas;Chubut;El Pastizal;9121;U9121XAD;
Chubut;Aguada de las Tejas;Chubut;El Piquillin;9121;U9121XAE;
Chubut;Aguada de las Tejas;Chubut;El Quilimuay;9121;U9121XAF;
Chubut;Aguada de las Tejas;Chubut;El Ruano;9121;U9121XAG;
Chubut;Aguada de las Tejas;Chubut;El Salitral;9121;U9121XAH;
Chubut;Aguada de las Tejas;Chubut;Estancia el Moro;9121;U9121XBW;
Chubut;Aguada de las Tejas;Chubut;Gan Gan;9121;U9121XBX;280
Chubut;Aguada de las Tejas;Chubut;Gastre;9121;U9121XBA;280
Chubut;Aguada de las Tejas;Chubut;La Corona;9121;U9121XAS;
Chubut;Aguada de las Tejas;Chubut;La Rosilla;9121;U9121XAT;
Chubut;Aguada de las Tejas;Chubut;Laguna de Vacas;9121;U9121XCE;
Chubut;Aguada de las Tejas;Chubut;Laguna Fria;9121;U9121XBY;
