Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Córdoba;9 de Julio;Córdoba;9 de Julio;5272;X5272XAB;
Córdoba;9 de Julio;La Rioja;Comandante Leal;5272;F5274XAM;
Córdoba;9 de Julio;Córdoba;El Chacho;5272;X5272XAA;
Córdoba;9 de Julio;La Rioja;El Medanito;5272;F5272XAA;
Córdoba;9 de Julio;Córdoba;El Moyano;5272;X5272XAC;
Córdoba;9 de Julio;La Rioja;Kilometro 619;5272;F5272XAB;
Córdoba;9 de Julio;Córdoba;Las Latas;5272;X5272XAF;
Córdoba;9 de Julio;Córdoba;Miraflores;5272;X5272XAD;
Córdoba;9 de Julio;Córdoba;Pozo del Barrial;5272;X5272XAE;
Córdoba;Abburra;Córdoba;Abburra;5220;X5220XAT;
Córdoba;Abburra;Córdoba;Belen;5220;X5220XAH;
Córdoba;Abburra;Córdoba;Columbo;5220;X5220XAG;
Córdoba;Abburra;Córdoba;El Molino;5220;X5214XAJ;
Córdoba;Abburra;Córdoba;El Reymundo;5220;X5220XAP;
Córdoba;Abburra;Córdoba;Estacion Caroya;5220;X5220XAS;
Córdoba;Abburra;Córdoba;Jesus Maria;5220;Buscar CPA;3525
Córdoba;Abburra;Córdoba;Kilometro 745;5220;X5220XAJ;
Córdoba;Abburra;Córdoba;La Cotita;5220;X5220XAD;
Córdoba;Abburra;Córdoba;La Virginia;5220;X5281XAF;
Córdoba;Abburra;Córdoba;Las Astillas;5220;X5220XAF;
Córdoba;Abburra;Córdoba;Los Callejones;5220;X5220XAQ;3544
Córdoba;Abburra;Córdoba;Los ChaÃ±ares;5220;Buscar CPA;
Córdoba;Abburra;Córdoba;Los Dos Rios;5220;X5220XAA;
Córdoba;Abburra;Córdoba;Los Duraznos;5220;X5220XAB;
Córdoba;Abburra;Córdoba;Nintes;5220;X5220XAK;
Córdoba;Abburra;Córdoba;Ojo de Agua;5220;X5293XAD;3544
Córdoba;Abburra;Córdoba;San Isidro;5220;X5281XAL;
Córdoba;Abburra;Córdoba;San Pablo;5220;X5220XAN;
Córdoba;Abburra;Córdoba;Santo Tomas;5220;X5220XAC;
Córdoba;Abburra;Córdoba;Sinsacate;5220;Buscar CPA;3525
Córdoba;Abburra;Córdoba;Villa Maria;5220;X5220XAO;353
Córdoba;Achiras;Achiras;Córdoba;5833;X5875XAC;3582
Córdoba;Achiras;Achiras;Córdoba;5875;X5875XAC;3582
Córdoba;Acollarado;Córdoba;Acollarado;5216;X5216XAE;
Córdoba;Acollarado;Córdoba;Agua Hedionda;5216;X5216XAF;3521
Córdoba;Acollarado;Córdoba;Arbol Blanco;5216;X5216XAG;
Córdoba;Acollarado;Córdoba;El Tuscal;5216;X5216XAH;3521
Córdoba;Acollarado;Córdoba;Kilometro 907;5216;X5216XAK;
Córdoba;Acollarado;Córdoba;Kilometro 931;5216;X5216XAJ;
Córdoba;Acollarado;Córdoba;Las CaÃ±as;5216;Buscar CPA;
Córdoba;Acollarado;Córdoba;Lucio V Mansilla;5216;X5216XAC;
Córdoba;Acollarado;Córdoba;San Jose;5216;X5166XAG;3544
Córdoba;Acollarado;Córdoba;San Jose de las Salinas;5216;X5216XAD;3521
Córdoba;Acollarado;Córdoba;Totoralejos;5216;X5216XAL;
Córdoba;Acollarado;Córdoba;Tuscal;5216;X5216XAA;
Córdoba;Acostilla;Córdoba;Acostilla;5871;X5871XAD;
Córdoba;Acostilla;Córdoba;Altautina;5871;X5871XAQ;
Córdoba;Acostilla;Córdoba;BaÃ±ado de Paja;5871;Buscar CPA;
Córdoba;Acostilla;Córdoba;Balde de la Mora;5871;X5871XAL;
Córdoba;Acostilla;Córdoba;Balde de la Orilla;5871;X5871XAC;
