Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Entre Ríos;1 de Mayo;Entre Ríos;1 de Mayo;3263;E3263XAI;3447
Entre Ríos;1 de Mayo;Entre Ríos;Centenario la Paz;3263;E3263XAA;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia Carmelo;3263;E3263XAB;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia Crucesitas;3263;E3263XAC;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia Ensanche Mayo;3263;E3263XAD;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia Gral Urquiza;3263;E3263XAE;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia San Cipriano;3263;E3263XAF;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia San Jorge;3263;E3252XAJ;
Entre Ríos;1 de Mayo;Entre Ríos;Colonia Santa Teresita;3263;E3263XAH;
Entre Ríos;1 de Mayo;Entre Ríos;Kilometro 268;3263;E3263XAK;
Entre Ríos;1 de Mayo;Entre Ríos;Kilometro 283;3263;E3263XAL;
Entre Ríos;1 de Mayo;Entre Ríos;Kilometro 293;3263;E3263XAM;
Entre Ríos;1 de Mayo;Entre Ríos;Pronunciamiento;3263;E3263XAJ;3442
Entre Ríos;1 de Mayo;Entre Ríos;San Cipriano;3263;E3263XAN;3442
Entre Ríos;20 de Septiembre;Entre Ríos;20 de Septiembre;3158;E3158XAC;
Entre Ríos;20 de Septiembre;Entre Ríos;Chiqueros;3158;E3158XAA;
Entre Ríos;20 de Septiembre;Entre Ríos;Colonia la Llave;3158;E3158XAB;
Entre Ríos;20 de Septiembre;Entre Ríos;La Colina;3158;E3158XAD;
Entre Ríos;20 de Septiembre;Entre Ríos;La Favorita;3158;E3158XAE;
Entre Ríos;20 de Septiembre;Entre Ríos;La Llave;3158;E3158XAF;
Entre Ríos;20 de Septiembre;Entre Ríos;Los Paraisos;3158;E3150XAJ;
Entre Ríos;20 de Septiembre;Entre Ríos;Lucas Gonzalez;3158;Buscar CPA;3435
Entre Ríos;20 de Septiembre;Entre Ríos;San Lorenzo;3158;E3150XAN;
Entre Ríos;Achiras;Entre Ríos;Achiras;3246;E3246XAB;
Entre Ríos;Achiras;Entre Ríos;Baron Hirsch;3246;E3246XAP;
Entre Ríos;Achiras;Entre Ríos;Colonia Achiras;3246;E3246XAG;
Entre Ríos;Achiras;Entre Ríos;Colonia Baron Hirsch;3246;E3246XAH;
Entre Ríos;Achiras;Entre Ríos;Colonia Carmel;3246;E3246XAQ;
Entre Ríos;Achiras;Entre Ríos;Colonia Ida;3246;E3246XAR;
Entre Ríos;Achiras;Entre Ríos;Colonia Miguel;3246;E3246XAS;
Entre Ríos;Achiras;Entre Ríos;Colonia Perliza;3246;E3246XAI;
Entre Ríos;Achiras;Entre Ríos;Colonia Sagastume;3246;E3246XAC;
Entre Ríos;Achiras;Entre Ríos;Colonia San Manuel;3246;E3246XAJ;
Entre Ríos;Achiras;Entre Ríos;Colonia Sonenfeld;3246;E3246XAK;
Entre Ríos;Achiras;Entre Ríos;Desparramados;3246;E3246XAM;
Entre Ríos;Achiras;Entre Ríos;Eben Horoscha;3246;E3246XAL;
Entre Ríos;Achiras;Entre Ríos;Grupo Achiras;3246;E3246XAD;
Entre Ríos;Achiras;Entre Ríos;Ing Miguel Sajaroff;3246;E3246XAT;
Entre Ríos;Achiras;Entre Ríos;La Capilla;3246;E3246XAA;
Entre Ríos;Achiras;Entre Ríos;Miguel J Perliza;3246;E3246XAO;
