Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Formosa;19 de Marzo;Formosa;19 de Marzo;3630;P3630XCX;
Formosa;19 de Marzo;Formosa;Bajo Hondo;3630;P3630XAI;
Formosa;19 de Marzo;Formosa;Cabo Primero Chavez;3630;P3630XAE;
Formosa;19 de Marzo;Formosa;Campo Alegre;3630;P3630XAV;
Formosa;19 de Marzo;Formosa;Campo Redondo;3630;P3630XBG;
Formosa;19 de Marzo;Formosa;Cnia Aborigen Bme de las Casas;3630;P3630XAW;
Formosa;19 de Marzo;Formosa;Colonia 8 de Septiembre;3630;P3630XBH;
Formosa;19 de Marzo;Formosa;Colonia Francisco J Muñiz;3630;P3630XCT;
Formosa;19 de Marzo;Formosa;Colonia los Tres Reyes;3630;P3630XAX;
Formosa;19 de Marzo;Formosa;Colonia San Bernardo;3630;P3630XAY;
Formosa;19 de Marzo;Formosa;Colonia San Isidro;3630;P3630XCB;
Formosa;19 de Marzo;Formosa;Colonia San Pablo;3630;P3630XBR;
Formosa;19 de Marzo;Formosa;Colonia Santa Catalina;3630;P3630XBI;
Formosa;19 de Marzo;Formosa;Colonia Santoro;3630;P3630XBS;
Formosa;19 de Marzo;Formosa;Colonia Villa Rica;3630;P3630XAZ;
Formosa;19 de Marzo;Formosa;Costa del Pilcomayo;3630;P3630XAF;
Formosa;19 de Marzo;Formosa;El Ceibal;3630;P3630XCV;
Formosa;19 de Marzo;Formosa;El Coati;3630;P3630XBA;
Formosa;19 de Marzo;Formosa;El Corredero;3630;P3630XBB;
Formosa;19 de Marzo;Formosa;El Descanso;3630;P3630XCW;
Formosa;19 de Marzo;Formosa;El Mirador;3630;P3630XBZ;
Formosa;19 de Marzo;Formosa;El Perdido;3630;P3630XCA;
Formosa;19 de Marzo;Formosa;El Quebracho;3630;P3630XBC;
Formosa;19 de Marzo;Formosa;El Tacuruzal;3630;P3630XBD;
Formosa;19 de Marzo;Formosa;El Totoral;3630;P3636XBQ;
Formosa;19 de Marzo;Formosa;El Yacare;3630;P3630XBF;
Formosa;19 de Marzo;Formosa;El Yuchan;3630;P3630XCS;
Formosa;19 de Marzo;Formosa;Espinillo;3630;P3603XAH;
Formosa;19 de Marzo;Formosa;Fortin Cabo 1Ro Chaves;3630;P3634XBU;
Formosa;19 de Marzo;Formosa;Fortin Cabo 1Ro Chavez;3630;P3630XBY;
Formosa;19 de Marzo;Formosa;Fortin Guemes;3630;P3630XAJ;
Formosa;19 de Marzo;Formosa;Fortin la Soledad;3630;P3630XAK;
Formosa;19 de Marzo;Formosa;Fortin Pilcomayo;3630;P3630XAL;
Formosa;19 de Marzo;Formosa;Isleta;3630;P3630XCC;
Formosa;19 de Marzo;Formosa;Kilometro 15;3630;P3630XBJ;
Formosa;19 de Marzo;Formosa;Kilometro 525;3630;P3630XBK;
Formosa;19 de Marzo;Formosa;Kilometro 642;3630;P3630XAU;
Formosa;19 de Marzo;Formosa;Kilometro 642 Nav R Bermejo;3630;P3600XAA;
Formosa;19 de Marzo;Formosa;La Soledad;3630;P3630XBL;
Formosa;19 de Marzo;Formosa;Las Delicias;3630;P3630XBM;
Formosa;19 de Marzo;Formosa;Las Lomitas;3630;Buscar CPA;3715
Formosa;19 de Marzo;Formosa;Las Saladas;3630;P3630XCE;
Formosa;19 de Marzo;Formosa;Los Baldes;3630;P3630XBN;
Formosa;19 de Marzo;Formosa;Los Claveles;3630;P3630XBO;
Formosa;19 de Marzo;Formosa;Los Suspiros;3630;P3630XAQ;
Formosa;19 de Marzo;Formosa;Los Tres Reyes;3630;P3630XAP;
Formosa;19 de Marzo;Formosa;Nuevo Pilcomayo;3630;P3526XAB;
Formosa;19 de Marzo;Formosa;Olegario Victor Andrade;3630;P3526XAC;
Formosa;19 de Marzo;Formosa;Paso de los Tobas;3630;P3630XAG;
Formosa;19 de Marzo;Formosa;Paso la Cruz;3630;P3630XCH;
Formosa;9 de Julio;Formosa;9 de Julio;3606;P3643XAA;
Formosa;9 de Julio;Formosa;Barrio San Jose Obrero;3606;P3606XBS;
Formosa;9 de Julio;Formosa;Cabo Noroña;3606;P3606XBI;
Formosa;9 de Julio;Formosa;Campo Rigonato;3606;P3606XBK;
Formosa;9 de Julio;Formosa;Casco Cue;3606;P3606XBL;
Formosa;9 de Julio;Formosa;Colonia 5 de Octubre;3606;P3606XAH;
Formosa;9 de Julio;Formosa;Colonia el Alba;3606;P3606XAI;
Formosa;9 de Julio;Formosa;Colonia el Olvido;3606;P3606XBM;
Formosa;9 de Julio;Formosa;Colonia el Zapallito;3606;P3606XBN;
