Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Jujuy;23 de Agosto;Jujuy;23 de Agosto;4504;Y4503XAC;
Jujuy;23 de Agosto;Jujuy;Chalican;4504;Y4504XAC;3886
Jujuy;23 de Agosto;Jujuy;El Quemado;4504;Y4504XAG;
Jujuy;23 de Agosto;Jujuy;El Rio Negro;4504;Y4504XAB;
Jujuy;23 de Agosto;Jujuy;Finca Leach;4504;Y4504XAA;
Jujuy;23 de Agosto;Jujuy;Jaramillo;4504;Y4504XAE;
Jujuy;23 de Agosto;Jujuy;Leachs;4504;Y4504XAI;
Jujuy;23 de Agosto;Jujuy;Lote Zora;4504;Y4504XAF;
Jujuy;23 de Agosto;Jujuy;Rastrojos;4504;Y4504XAD;
Jujuy;23 de Agosto;Jujuy;Rio Negro;4504;Y4504XAH;
Jujuy;Abdon Castro Tolay;Jujuy;Abdon Castro Tolay;4641;Buscar CPA;
Jujuy;Abdon Castro Tolay;Jujuy;Agua Caliente de la Puna;4641;Y4641XAI;
Jujuy;Abdon Castro Tolay;Jujuy;Barrancas;4641;Y4641XAK;
Jujuy;Abdon Castro Tolay;Jujuy;Casabindo;4641;Y4641XAA;
Jujuy;Abdon Castro Tolay;Jujuy;Cauchari;4641;Y4641XAT;
Jujuy;Abdon Castro Tolay;Jujuy;Cerro Agua Caliente;4641;Y4641XBD;
Jujuy;Abdon Castro Tolay;Jujuy;Cochinoca;4641;Y4641XAB;
Jujuy;Abdon Castro Tolay;Jujuy;Doncellas;4641;Y4641XAC;
Jujuy;Abdon Castro Tolay;Jujuy;El Porvenir;4641;Y4641XAU;
Jujuy;Abdon Castro Tolay;Jujuy;El Potrero de la Puna;4641;Y4641XAP;
Jujuy;Abdon Castro Tolay;Jujuy;Huancar;4641;Y4618XAV;3887
Jujuy;Abdon Castro Tolay;Jujuy;Kilometro 1369;4641;Y4641XAV;
Jujuy;Abdon Castro Tolay;Jujuy;Muñayoc;4641;Y4641XAY;
Jujuy;Abdon Castro Tolay;Jujuy;Olaroz Chico;4641;Y4641XAZ;3887
Jujuy;Abdon Castro Tolay;Jujuy;Olaroz Grande;4641;Y4641XAW;
Jujuy;Abdon Castro Tolay;Jujuy;Pastos Chicos;4641;Y4641XAQ;3887
Jujuy;Abdon Castro Tolay;Jujuy;Queta;4641;Y4641XAL;
Jujuy;Abdon Castro Tolay;Jujuy;Quichagua;4641;Y4641XAM;
Jujuy;Abdon Castro Tolay;Jujuy;Rachaite;4641;Y4641XAN;
Jujuy;Abdon Castro Tolay;Jujuy;Rinconadillas;4641;Y4641XAO;
Jujuy;Abdon Castro Tolay;Jujuy;San Francisco de Alfarcito;4641;Buscar CPA;
Jujuy;Abdon Castro Tolay;Jujuy;San Juan de Quillagues;4641;Y4641XAE;
Jujuy;Abdon Castro Tolay;Jujuy;Santa Ana de la Puna;4641;Y4641XAF;
Jujuy;Abdon Castro Tolay;Jujuy;Sijes;4641;Y4641XAS;
Jujuy;Abdon Castro Tolay;Jujuy;Susques;4641;Buscar CPA;3887
Jujuy;Abdon Castro Tolay;Jujuy;Tambillos;4641;Y4641XAG;
Jujuy;Abdon Castro Tolay;Jujuy;Tanques;4641;Y4641XBA;
Jujuy;Abdon Castro Tolay;Jujuy;Teuco;4641;Y4641XAD;
Jujuy;Abdon Castro Tolay;Jujuy;Turilari;4641;Y4641XBB;
