Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
La Pampa;25 de Mayo;La Pampa;25 de Mayo;8201;Buscar CPA;
La Pampa;25 de Mayo;La Pampa;Barrancas Coloradas;8201;L8201XBB;
La Pampa;25 de Mayo;La Pampa;Belgrano;8201;L8201XBH;
La Pampa;25 de Mayo;La Pampa;Casa de Piedra;8201;L8201XBN;
La Pampa;25 de Mayo;La Pampa;Cerro Azul;8201;L8201XBC;
La Pampa;25 de Mayo;La Pampa;Cerro Bayo;8201;L8201XBD;
La Pampa;25 de Mayo;La Pampa;Cerro del Aigre;8201;L8201XAA;
La Pampa;25 de Mayo;La Pampa;Cerro la Bota;8201;L8201XBE;
La Pampa;25 de Mayo;La Pampa;Chacharramendi;8201;Buscar CPA;2952
La Pampa;25 de Mayo;La Pampa;Colonia Chica;8201;L8201XBO;
La Pampa;25 de Mayo;La Pampa;Colonia el Sauzal;8201;L8201XBM;
La Pampa;25 de Mayo;La Pampa;Colonia los Piojos;8201;L8201XAY;
La Pampa;25 de Mayo;La Pampa;Colonia San Ignacio;8201;L8201XAV;
La Pampa;25 de Mayo;La Pampa;El Cinco;8201;L8201XAX;
La Pampa;25 de Mayo;La Pampa;El Diez;8201;L8201XAB;
La Pampa;25 de Mayo;La Pampa;El Diez y Siete;8201;L8201XAC;
La Pampa;25 de Mayo;La Pampa;El Escabel;8201;L8201XAU;
La Pampa;25 de Mayo;La Pampa;El Huitru;8201;L8201XBI;
La Pampa;25 de Mayo;La Pampa;El Nueve;8201;L8201XAD;
La Pampa;25 de Mayo;La Pampa;El Tartagal;8201;L8201XAE;
La Pampa;25 de Mayo;La Pampa;El Trece;8201;L8201XAF;
La Pampa;25 de Mayo;La Pampa;El Uno;8201;L8201XAG;
La Pampa;25 de Mayo;La Pampa;Euskadi;8201;L8201XAH;
La Pampa;25 de Mayo;La Pampa;Gobernador Ayala;8201;L8201XAZ;
La Pampa;25 de Mayo;La Pampa;Guaraco;8201;L8201XAW;
La Pampa;25 de Mayo;La Pampa;Julian a Mansilla;8201;L8201XAT;
La Pampa;25 de Mayo;La Pampa;La Asturiana;8201;L8201XAR;
La Pampa;25 de Mayo;La Pampa;La Chita Puelches;8201;L8201XAI;
La Pampa;25 de Mayo;La Pampa;La Clelia;8201;L8201XAJ;
La Pampa;25 de Mayo;La Pampa;La Limpia;8201;L8201XAK;
La Pampa;25 de Mayo;La Pampa;La Lucha la Reforma;8201;L8201XBF;
La Pampa;25 de Mayo;La Pampa;La Reforma;8201;L8201XBJ;2338
La Pampa;25 de Mayo;La Pampa;La Reforma Vieja;8201;L8201XAL;
La Pampa;25 de Mayo;La Pampa;Laguna Quiroga;8201;L8201XBK;
La Pampa;25 de Mayo;La Pampa;Legasa;8201;L8201XAM;
La Pampa;25 de Mayo;La Pampa;Lihue Calel;8201;L8201XAS;
La Pampa;25 de Mayo;La Pampa;Limay Mahuida;8201;L8201XAQ;
La Pampa;25 de Mayo;La Pampa;Minerales de la Pampa;8201;L8201XAN;
La Pampa;25 de Mayo;La Pampa;Puelches;8201;L8201XAO;2952
La Pampa;25 de Mayo;La Pampa;San Roberto;8201;L8201XAP;
La Pampa;25 de Mayo;La Pampa;San Salvador;8201;L8201XBA;
La Pampa;25 de Mayo;La Pampa;Santa Elena;8201;L8201XBG;
La Pampa;Abramo;La Pampa;Abramo;8212;Buscar CPA;
La Pampa;Abramo;La Pampa;Cona Lauquen;8212;L8212XAA;
La Pampa;Abramo;La Pampa;Cotita;8212;L8212XAU;
La Pampa;Abramo;La Pampa;Dos Amigos;8212;L6321XAX;
La Pampa;Abramo;La Pampa;Dos de Ipiña;8212;L8212XAW;
La Pampa;Abramo;La Pampa;Dos Violetas;8212;L8212XAH;
La Pampa;Abramo;La Pampa;El Lucero;8212;L8212XAI;
La Pampa;Abramo;La Pampa;El Mirador;8212;L8212XAJ;
La Pampa;Abramo;La Pampa;Hucal;8212;L8212XAK;
La Pampa;Abramo;La Pampa;Ipiña;8212;L8212XAL;
La Pampa;Abramo;La Pampa;La Administracion;8212;L8212XAM;
La Pampa;Abramo;La Pampa;La Catita;8212;L8212XAX;
La Pampa;Abramo;La Pampa;La Constancia;8212;L6321XAG;
La Pampa;Abramo;La Pampa;La Elva;8212;L8212XAB;
La Pampa;Abramo;La Pampa;La Estrella del Sud;8212;L8212XAZ;
La Pampa;Abramo;La Pampa;La Isabel;8212;L6321XBJ;
La Pampa;Abramo;La Pampa;La Maria;8212;L6331XAF;
La Pampa;Abramo;La Pampa;La Maria Elena;8212;L8212XAF;
La Pampa;Abramo;La Pampa;La Maria Elisa;8212;L8212XBC;
La Pampa;Abramo;La Pampa;La Union;8212;L6321XAO;
La Pampa;Abramo;La Pampa;La Victoria;8212;L8212XAO;
La Pampa;Abramo;La Pampa;Lote 11 Bernasconi;8212;L8212XBI;
La Pampa;Abramo;La Pampa;Lote 22 Ipiña;8212;L8212XAP;
La Pampa;Abramo;La Pampa;Lote 8;8212;L8212XBD;
La Pampa;Abramo;La Pampa;Luna;8212;L8212XAG;
La Pampa;Abramo;La Pampa;Peru;8212;L8212XAC;
La Pampa;Abramo;La Pampa;Piche Cona Lauquen;8212;L8212XAD;
La Pampa;Abramo;La Pampa;Remeco;8212;L8212XBE;
La Pampa;Abramo;La Pampa;San Aquilino;8212;L8212XBF;
La Pampa;Abramo;La Pampa;San Diego;8212;L8212XBG;
La Pampa;Abramo;La Pampa;San Juan;8212;L8212XBH;
La Pampa;Abramo;La Pampa;San Miguel;8212;L6331XAP;
La Pampa;Abramo;La Pampa;Tres Botones;8212;L8212XAQ;
La Pampa;Abramo;La Pampa;Tres Naciones;8212;L8212XAR;
La Pampa;Abramo;La Pampa;Tribuluci;8212;L8212XAS;
La Pampa;Abramo;La Pampa;Trubuluco;8212;L8212XAT;
La Pampa;Adolfo Van Praet;La Pampa;Adolfo Van Praet;6212;Buscar CPA;2331
La Pampa;Adolfo Van Praet;La Pampa;El Tordillo;6212;L6212XAC;
La Pampa;Adolfo Van Praet;La Pampa;Falucho;6212;Buscar CPA;2331
La Pampa;Adolfo Van Praet;La Pampa;La Juanita;6212;L8206XAQ;
La Pampa;Adolfo Van Praet;La Pampa;Maisonnave;6212;Buscar CPA;
La Pampa;Adolfo Van Praet;La Pampa;Pueblo Alassa;6212;L6208XAB;
La Pampa;Adolfo Van Praet;La Pampa;Quetrequen;6212;L6212XAB;2331
La Pampa;Adolfo Van Praet;La Pampa;San Hilario;6212;L6212XAA;
La Pampa;Adolfo Van Praet;La Pampa;San Juan Simson;6212;L6212XAD;
La Pampa;Adolfo Van Praet;La Pampa;Santa Gracia;6212;L6212XAE;
La Pampa;Adolfo Van Praet;La Pampa;Tres Hermanos Quetrequen;6212;L6212XAF;
La Pampa;Agua de Torre;La Pampa;Agua de Torre;5621;L5621XAA;
La Pampa;Agua de Torre;Mendoza;Agua del Toro;5621;M5621XAQ;
La Pampa;Agua de Torre;Mendoza;Agua Escondida;5621;M5621XAR;260
La Pampa;Agua de Torre;Mendoza;Cañadon de Bonilla;5621;M5621XAL;
