Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Mendoza;12 de Octubre;Mendoza;12 de Octubre;5596;Buscar CPA;
Mendoza;12 de Octubre;Mendoza;Balde de Piedra;5596;M5596XAD;
Mendoza;12 de Octubre;Mendoza;La Costa;5596;M5596XAA;
Mendoza;12 de Octubre;Mendoza;Recoaro;5596;M5596XAB;
Mendoza;12 de Octubre;Mendoza;Santa Rosa;5596;Buscar CPA;
Mendoza;12 de Octubre;Mendoza;Villa Catala;5596;M5596XAC;
Mendoza;25 de Mayo;Mendoza;25 de Mayo;5615;Buscar CPA;260
Mendoza;25 de Mayo;Mendoza;Colonia Pascual Iacarini;5615;Buscar CPA;
Mendoza;25 de Mayo;Mendoza;Los Reyunos;5615;M5615XAA;
Mendoza;25 de Mayo;Mendoza;Piedra de Afilar;5615;M5615XAB;
Mendoza;3 de Mayo;Mendoza;3 de Mayo;5543;Buscar CPA;
Mendoza;3 de Mayo;Mendoza;Alto Grande;5543;M5543XAC;
Mendoza;3 de Mayo;Mendoza;Capdeville;5543;M5543XAD;
Mendoza;3 de Mayo;Mendoza;Colonia 3 de Mayo;5543;M5543XAF;
Mendoza;3 de Mayo;Mendoza;Colonia Alemana;5543;M5543XAE;
Mendoza;3 de Mayo;Mendoza;El Cañito;5543;M5543XAG;
Mendoza;3 de Mayo;Mendoza;El Resguardo;5543;M5543XAA;
Mendoza;3 de Mayo;Mendoza;Hornito del Gringo;5543;M5543XAH;
Mendoza;3 de Mayo;Mendoza;Hornos de Moyano;5543;M5543XAI;
Mendoza;3 de Mayo;Mendoza;Jocoli;5543;M5543XAJ;261
Mendoza;3 de Mayo;Mendoza;Matheu Norte;5543;M5543XAB;
Mendoza;3 de Mayo;Mendoza;Moyano;5543;M5543XAK;
Mendoza;9 de Julio;Mendoza;9 de Julio;5533;M5533XAH;
Mendoza;9 de Julio;Mendoza;Algarrobo;5533;M5533XAY;
Mendoza;9 de Julio;Mendoza;Alto del Olvido;5533;M5533XAI;261
Mendoza;9 de Julio;Mendoza;Bermejo;5533;Buscar CPA;
Mendoza;9 de Julio;Mendoza;Capilla del Covadito;5533;M5533XBA;
Mendoza;9 de Julio;Mendoza;Capilla San Jose;5533;M5533XBB;
Mendoza;9 de Julio;Mendoza;Colonia Estrella;5533;M5533XBC;
Mendoza;9 de Julio;Mendoza;Colonia Italiana;5533;M5533XAC;
Mendoza;9 de Julio;Mendoza;Colonia San Francisco;5533;M5533XBD;261
Mendoza;9 de Julio;Mendoza;El 15;5533;M5533XBE;
Mendoza;9 de Julio;Mendoza;El Balsadero;5533;M5533XBF;
Mendoza;9 de Julio;Mendoza;El Calvadito;5533;M5533XBG;
Mendoza;9 de Julio;Mendoza;El Chilcal;5533;M5533XAJ;
Mendoza;9 de Julio;Mendoza;El Chircal;5533;M5533XAD;
Mendoza;9 de Julio;Mendoza;El Pascal;5533;M5533XAK;
Mendoza;9 de Julio;Mendoza;El Retiro;5533;M5594XDH;
Mendoza;9 de Julio;Mendoza;El Sauce;5533;M5533XAA;
Mendoza;9 de Julio;Mendoza;El Tapon;5533;M5533XAL;
Mendoza;9 de Julio;Mendoza;El Vergel;5533;M5533XAN;
Mendoza;9 de Julio;Mendoza;General Acha;5533;M5533XAO;
Mendoza;9 de Julio;Mendoza;Gobernador Luis Molina;5533;M5533XAP;
Mendoza;9 de Julio;Mendoza;Guadal de los Perez;5533;M5533XBH;
Mendoza;9 de Julio;Mendoza;Jocoli Viejo;5533;M5533XAQ;261
Mendoza;9 de Julio;Mendoza;La Esperanza;5533;M5533XBI;
Mendoza;9 de Julio;Mendoza;La Fortuna;5533;M5533XBJ;
Mendoza;9 de Julio;Mendoza;La Holanda;5533;M5533XBK;
Mendoza;9 de Julio;Mendoza;La Palmera;5533;M5533XAE;261
Mendoza;9 de Julio;Mendoza;La Pega;5533;M5533XAF;261
Mendoza;9 de Julio;Mendoza;Las Delicias;5533;M5533XAG;
Mendoza;9 de Julio;Mendoza;Las Gateadas;5533;M5533XAR;
Mendoza;9 de Julio;Mendoza;Las Violetas;5533;M5569XAF;261
Mendoza;9 de Julio;Mendoza;Limon;5533;M5533XAB;
Mendoza;9 de Julio;Mendoza;Los Yaullines;5533;M5533XAT;
Mendoza;9 de Julio;Mendoza;Paramillo;5533;M5533XAW;
Mendoza;9 de Julio;Mendoza;Paso del Cisne;5533;M5533XAU;
Mendoza;9 de Julio;Mendoza;Puerto Hortensa;5533;M5533XAV;
Mendoza;9 de Julio;Mendoza;Puesto Algarrobo Grande;5533;M5533XBL;
Mendoza;9 de Julio;Mendoza;Puesto el Pichon;5533;M5533XBM;
Mendoza;9 de Julio;Mendoza;Ramblon de los Chilenos;5533;M5533XBN;
Mendoza;9 de Julio;Mendoza;Santa Marta;5533;M5533XAX;
Mendoza;9 de Julio;Mendoza;Tulumaya;5533;M5533XAZ;
Mendoza;9 de Julio;Mendoza;Villa Tulumaya;5533;Buscar CPA;
Mendoza;Adrian Maturano;Mendoza;Adrian Maturano;5590;M5590XBF;
Mendoza;Adrian Maturano;Mendoza;Alejandro Perez;5590;M5590XFK;
Mendoza;Adrian Maturano;Mendoza;Alfredo Lucero;5590;M5590XFL;
Mendoza;Adrian Maturano;Mendoza;Alto de los Perros;5590;M5590XFM;
Mendoza;Adrian Maturano;Mendoza;Alto de los Sapos;5590;M5590XFN;
Mendoza;Adrian Maturano;Mendoza;Alvarez;5590;M5590XFJ;
Mendoza;Adrian Maturano;Mendoza;Ana de Donaire;5590;M5590XFO;
Mendoza;Adrian Maturano;Mendoza;Anacleta Viuda de Perez;5590;M5590XFP;
Mendoza;Adrian Maturano;Mendoza;Andres Perez;5590;M5590XFQ;
Mendoza;Adrian Maturano;Mendoza;Antonio Sosa;5590;M5590XFR;
Mendoza;Adrian Maturano;Mendoza;B Elena;5590;M5590XFS;
Mendoza;Adrian Maturano;Mendoza;Bajada del Perro;5590;M5590XBG;
Mendoza;Adrian Maturano;Mendoza;Becerra;5590;M5590XBH;
Mendoza;Adrian Maturano;Mendoza;Blas Panelo;5590;M5590XBI;
Mendoza;Adrian Maturano;Mendoza;Boyeros;5590;M5590XBJ;
Mendoza;Adrian Maturano;Mendoza;C Gonzales Videla;5590;M5590XBK;
Mendoza;Adrian Maturano;Mendoza;Cadetes de Chile;5590;M5590XGG;
Mendoza;Adrian Maturano;Mendoza;Campo el Toro;5590;M5590XBL;
Mendoza;Adrian Maturano;Mendoza;Chacras de Lima;5590;M5590XFT;
Mendoza;Adrian Maturano;Mendoza;Chamuscao;5590;M5590XFU;
Mendoza;Adrian Maturano;Mendoza;Chañaral Redondo;5590;M5590XFV;
Mendoza;Adrian Maturano;Mendoza;Cirilo Mahona;5590;M5590XFW;
Mendoza;Adrian Maturano;Mendoza;Clarentino Roldan;5590;M5590XFX;
Mendoza;Adrian Maturano;Mendoza;Colonia el Regadio;5590;M5590XFY;
Mendoza;Adrian Maturano;Mendoza;Corral de Cuero;5590;M5590XFZ;
Mendoza;Adrian Maturano;Mendoza;Corral del Molle;5590;M5590XGB;
Mendoza;Adrian Maturano;Mendoza;Cruz del Yugo;5590;M5590XGA;
Mendoza;Adrian Maturano;Mendoza;Cruz Ledesma;5590;M5590XBM;
Mendoza;Adrian Maturano;Mendoza;Dalmiro Zapata;5590;M5590XBN;
Mendoza;Adrian Maturano;Mendoza;Daniel Lucero;5590;M5590XBO;
Mendoza;Adrian Maturano;Mendoza;Daniel Morgan;5590;M5590XBP;
Mendoza;Adrian Maturano;Mendoza;Delgadillo;5590;M5590XGC;
