Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Misiones;1 de Mayo;Misiones;1 de Mayo;3362;N3364XAK;
Misiones;1 de Mayo;Misiones;Campo Grande;3362;Buscar CPA;
Misiones;1 de Mayo;Misiones;Campo Viera;3362;Buscar CPA;3755
Misiones;1 de Mayo;Misiones;Destacamento Bosques;3362;N3364XAD;
Misiones;1 de Mayo;Misiones;Kilometro 17 Ruta 8;3362;N3364XAG;
Misiones;17 de Agosto;Misiones;17 de Agosto;3338;N3338XAI;
Misiones;17 de Agosto;Misiones;2 de Abril;3338;N3338XAB;
Misiones;17 de Agosto;Misiones;El Lapacho;3338;N3338XAE;
Misiones;17 de Agosto;Misiones;Fray Luis Beltran;3338;N3338XAJ;
Misiones;17 de Agosto;Misiones;Km 18;3338;N3338XAG;
Misiones;17 de Agosto;Misiones;La Bonita;3338;N3338XAL;
Misiones;17 de Agosto;Misiones;Las Flores;3338;N3338XAA;
Misiones;17 de Agosto;Misiones;Lechuza;3338;N3338XAH;
Misiones;17 de Agosto;Misiones;Manuel Belgrano;3338;N3338XAD;
Misiones;17 de Agosto;Misiones;Mariano Moreno;3338;N3338XAC;
Misiones;17 de Agosto;Misiones;Picada Mandarina;3338;N3338XAF;
Misiones;17 de Agosto;Misiones;Virgen de Lourdes;3338;N3338XAK;
Misiones;2 de Mayo;Misiones;2 de Mayo;3364;Buscar CPA;3755
Misiones;2 de Mayo;Misiones;Alta Union;3364;N3364XAL;
Misiones;2 de Mayo;Misiones;Aristobulo del Valle;3364;Buscar CPA;3755
Misiones;2 de Mayo;Misiones;Aserradero Echeverria;3364;N3364XBN;
Misiones;2 de Mayo;Misiones;Aserradero Piñalito;3364;N3364XBO;
Misiones;2 de Mayo;Misiones;Barracon;3364;N3366XAK;
Misiones;2 de Mayo;Misiones;Bernardino Rivadavia;3364;N3364XAA;
Misiones;2 de Mayo;Misiones;Cainguas;3364;N3364XAB;
Misiones;2 de Mayo;Misiones;Capitan Antonio Morales;3364;N3364XAU;
Misiones;2 de Mayo;Misiones;Colonia Chafariz;3364;N3364XAM;
Misiones;2 de Mayo;Misiones;Colonia Fortaleza;3364;N3364XBP;
Misiones;2 de Mayo;Misiones;Colonia Gramado;3364;N3364XBQ;
Misiones;2 de Mayo;Misiones;Colonia Juanita;3364;N3364XBR;
Misiones;2 de Mayo;Misiones;Colonia la Chillita;3364;N3364XBF;
Misiones;2 de Mayo;Misiones;Colonia la Gruta;3364;N3364XBG;
Misiones;2 de Mayo;Misiones;Colonia la Nueva;3364;N3364XCA;
Misiones;2 de Mayo;Misiones;Colonia la Polaca;3364;N3364XBH;
Misiones;2 de Mayo;Misiones;Colonia Mondori;3364;N3364XBI;
Misiones;2 de Mayo;Misiones;Colonia Paduan;3364;N3364XBJ;
Misiones;2 de Mayo;Misiones;Colonia Palmera;3364;N3364XBK;
Misiones;2 de Mayo;Misiones;Colonia Primavera;3364;N3364XAN;
Misiones;2 de Mayo;Misiones;Colonia Puerto Rosales;3364;N3364XBL;
Misiones;2 de Mayo;Misiones;Colonia Siete Estrellas;3364;N3364XBM;
Misiones;2 de Mayo;Misiones;Comandante Andresito;3364;N3364XAV;
Misiones;2 de Mayo;Misiones;Cruce Caballero;3364;N3364XBW;
Misiones;2 de Mayo;Misiones;Cruce Londero;3364;N3364XAO;
Misiones;2 de Mayo;Misiones;Cuña Pora;3364;N3364XBB;
Misiones;2 de Mayo;Misiones;El Soberbio;3364;Buscar CPA;3755
Misiones;2 de Mayo;Misiones;El Socorro;3364;N3364XBC;
Misiones;2 de Mayo;Misiones;El Tigre;3364;N3364XAE;
Misiones;2 de Mayo;Misiones;Fracran;3364;N3364XAW;
Misiones;2 de Mayo;Misiones;Fronteras;3364;N3364XAH;
Misiones;2 de Mayo;Misiones;Guaibichu;3364;N3364XAP;
Misiones;2 de Mayo;Misiones;Kilometro 286;3364;N3364XBD;
Misiones;2 de Mayo;Misiones;La Flor;3364;N3364XCB;
Misiones;2 de Mayo;Misiones;Las Mercedes;3364;N3364XAQ;
Misiones;2 de Mayo;Misiones;Lujan;3364;N3364XBE;
Misiones;2 de Mayo;Misiones;Mesa Redonda;3364;N3364XAR;
Misiones;2 de Mayo;Misiones;Miguel Guemes;3364;N3364XAS;
Misiones;2 de Mayo;Misiones;Mocona;3364;N3364XAY;
Misiones;2 de Mayo;Misiones;Monteagudo;3364;N3364XAX;
Misiones;2 de Mayo;Misiones;Paraiso;3364;N3364XAT;
Misiones;2 de Mayo;Misiones;Paraje Lucero;3364;N3364XAF;
Misiones;2 de Mayo;Misiones;Pindaiti;3364;N3364XAI;
Misiones;2 de Mayo;Misiones;Pindayti;3364;N3364XAJ;
Misiones;2 de Mayo;Misiones;Puerto Paraiso;3364;N3364XAZ;
Misiones;2 de Mayo;Misiones;Rio Yabotay;3364;N3364XBA;
Misiones;2 de Mayo;Misiones;Salto Encantado;3364;Buscar CPA;
Misiones;2 de Mayo;Misiones;San Pedro;3364;Buscar CPA;
Misiones;2 de Mayo;Misiones;San Vicente;3364;Buscar CPA;
Misiones;22 de Diciembre;Misiones;22 de Diciembre;3378;N3370XAT;
Misiones;22 de Diciembre;Misiones;Puerto Esperanza;3378;Buscar CPA;3757
Misiones;25 de Mayo;Misiones;25 de Mayo;3363;Buscar CPA;
Misiones;25 de Mayo;Misiones;9 de Julio;3363;N3363XAA;
Misiones;25 de Mayo;Misiones;Alba Posse;3363;Buscar CPA;3755
Misiones;25 de Mayo;Misiones;Bartolito;3363;N3363XAE;
Misiones;25 de Mayo;Misiones;Campos Salles;3363;N3363XAC;
Misiones;25 de Mayo;Misiones;Colonia Alicia;3363;N3363XAF;
Misiones;25 de Mayo;Misiones;Colonia Aparecida;3363;N3363XBA;
Misiones;25 de Mayo;Misiones;Colonia Aurora;3363;N3363XAR;3755
Misiones;25 de Mayo;Misiones;Colonia el Doradillo;3363;N3363XAS;
Misiones;25 de Mayo;Misiones;Colonia el Progreso;3363;N3363XAT;
Misiones;25 de Mayo;Misiones;Desplayada;3363;N3363XAU;
Misiones;25 de Mayo;Misiones;El Macaco;3363;N3363XAV;
Misiones;25 de Mayo;Misiones;El Saltiño;3363;N3363XAW;
Misiones;25 de Mayo;Misiones;El Saltito;3363;N3363XAX;
Misiones;25 de Mayo;Misiones;Filemon Posse;3363;Buscar CPA;
Misiones;25 de Mayo;Misiones;Mai Bao;3363;N3363XAY;
Misiones;25 de Mayo;Misiones;Puerto Alicia;3363;N3363XAG;
Misiones;25 de Mayo;Misiones;Puerto Aurora;3363;N3363XAH;
Misiones;25 de Mayo;Misiones;Puerto Insua;3363;N3363XAI;
Misiones;25 de Mayo;Misiones;Puerto Londero;3363;N3363XAJ;
Misiones;25 de Mayo;Misiones;Puerto San Martin;3363;N3363XAK;
Misiones;25 de Mayo;Misiones;San Carlos;3363;N3363XAL;
Misiones;25 de Mayo;Misiones;San Francisco de Asis;3363;N3363XAM;
Misiones;25 de Mayo;Misiones;Santa Rita;3363;Buscar CPA;3755
Misiones;25 de Mayo;Misiones;Torta Quemada;3363;N3363XAN;
Misiones;25 de Mayo;Misiones;Tres Bocas;3363;N3363XAO;
Misiones;25 de Mayo;Misiones;Villa Vilma;3363;N3363XAP;
Misiones;25 de Mayo;Misiones;Villafañe;3363;N3363XAQ;
Misiones;3 de Mayo;Misiones;3 de Mayo;3334;N3334XAT;
Misiones;3 de Mayo;Misiones;Capiovisiño;3334;N3334XAA;
