Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Neuquén;Achico;Neuquén;Achico;8315;Q8315XAF;
Neuquén;Achico;Neuquén;Bajada Colorada;8315;Q8315XAG;
Neuquén;Achico;Neuquén;Carran Cura;8315;Q8315XAH;
Neuquén;Achico;Neuquén;Carri Lauquen;8315;Q8315XAB;
Neuquén;Achico;Neuquén;Costa Limay;8315;Q8315XAC;
Neuquén;Achico;Neuquén;La Pintada;8315;Q8315XAD;
Neuquén;Achico;Neuquén;La Teresa;8315;Q8340XAY;
Neuquén;Achico;Neuquén;Nogueira;8315;Q8315XAA;
Neuquén;Achico;Neuquén;Piedra del Aguila;8315;Buscar CPA;2942
Neuquén;Achico;Neuquén;Piedra Pintada;8315;Q8315XAI;
Neuquén;Achico;Neuquén;San Bernardo;8315;Q8315XAJ;
Neuquén;Achico;Neuquén;Sañico;8315;Q8315XAK;
Neuquén;Achico;Neuquén;Santa Isabel;8315;Q8349XAG;
Neuquén;Achico;Neuquén;Santo Tomas;8315;Q8315XAM;2942
Neuquén;Achico;Neuquén;Villa Rincon Chico;8315;Q8315XAO;
Neuquén;Achico;Neuquén;Zaina Yegua;8315;Q8315XAN;
Neuquén;Agrio Balsa;Neuquén;Agrio Balsa;8351;Q8351XAO;
Neuquén;Agrio Balsa;Neuquén;Bajada del Agrio;8351;Buscar CPA;2942
Neuquén;Agrio Balsa;Neuquén;Balneario del Rio Agrio;8351;Q8351XAN;
Neuquén;Agrio Balsa;Neuquén;Balsa del Rio Agrio;8351;Q8351XAR;
Neuquén;Agrio Balsa;Neuquén;Chorriaca;8351;Buscar CPA;2948
Neuquén;Agrio Balsa;Neuquén;Coihueco;8351;Q8351XAD;
Neuquén;Agrio Balsa;Neuquén;Coli Malal;8351;Q8351XAP;
Neuquén;Agrio Balsa;Neuquén;Confluencia del Aguijon;8351;Q8351XAQ;
Neuquén;Agrio Balsa;Neuquén;Costa del Arroyo Salado;8351;Q8351XAE;
Neuquén;Agrio Balsa;Neuquén;Covunco Abajo;8351;Q8351XAV;2942
Neuquén;Agrio Balsa;Neuquén;Covunco Centro;8351;Buscar CPA;
Neuquén;Agrio Balsa;Neuquén;El Peralito;8351;Q8351XAF;
Neuquén;Agrio Balsa;Neuquén;El Salado;8351;Q8351XAG;
Neuquén;Agrio Balsa;Neuquén;Franhucura;8351;Q8351XAH;
Neuquén;Agrio Balsa;Neuquén;Huncal;8351;Q8351XAI;
Neuquén;Agrio Balsa;Neuquén;Mariano Moreno;8351;Buscar CPA;2942
Neuquén;Agrio Balsa;Neuquén;Nau Nauco;8351;Q8351XAJ;
Neuquén;Agrio Balsa;Neuquén;Pampa del Salado;8351;Q8351XAA;
Neuquén;Agrio Balsa;Neuquén;Pichaihue;8351;Q8351XAK;2948
Neuquén;Agrio Balsa;Neuquén;Pichi Neuquen;8351;Q8351XAL;
Neuquén;Agrio Balsa;Neuquén;Pilmatue;8351;Q8351XAS;
Neuquén;Agrio Balsa;Neuquén;Quili Malal;8351;Q8351XAT;2942
Neuquén;Agrio Balsa;Neuquén;Quintuco;8351;Q8351XAB;2948
Neuquén;Agrio Balsa;Neuquén;Rio Agrio;8351;Q8351XAU;
Neuquén;Agrio Balsa;Neuquén;Taquimilan;8351;Buscar CPA;
Neuquén;Agrio Balsa;Neuquén;Trahuncura;8351;Q8351XAC;
Neuquén;Agrio Balsa;Neuquén;Vaca Muerta;8351;Q8351XAM;
Neuquén;Aguada Chacay Co;Neuquén;Aguada Chacay Co;8353;Q8353XAA;
Neuquén;Aguada Chacay Co;Neuquén;Andacollo;8353;Buscar CPA;2948
Neuquén;Aguada Chacay Co;Neuquén;Anquinco;8353;Q8353XAB;
Neuquén;Aguada Chacay Co;Neuquén;Arroyo Blanco;8353;Q8353XAC;
Neuquén;Aguada Chacay Co;Neuquén;Barrancas;8353;Buscar CPA;2948
Neuquén;Aguada Chacay Co;Neuquén;Batre Lauquen;8353;Q8353XAD;
Neuquén;Aguada Chacay Co;Neuquén;Bella Vista;8353;Q8353XBX;
Neuquén;Aguada Chacay Co;Neuquén;Buta Co;8353;Q8353XCX;2948
Neuquén;Aguada Chacay Co;Neuquén;Buta Mallin;8353;Q8353XCW;
Neuquén;Aguada Chacay Co;Neuquén;Buta Ranquil;8353;Buscar CPA;2948
Neuquén;Aguada Chacay Co;Neuquén;Butalon;8353;Q8353XCO;
Neuquén;Aguada Chacay Co;Neuquén;Caepe Malal;8353;Q8353XAE;2948
Neuquén;Aguada Chacay Co;Neuquén;Cajon Grande;8353;Q8353XAT;
Neuquén;Aguada Chacay Co;Neuquén;Camaleones;8353;Q8353XBY;
Neuquén;Aguada Chacay Co;Neuquén;Cañada Seca;8353;Q8353XAU;
Neuquén;Aguada Chacay Co;Neuquén;Cancha Huinganco;8353;Q8353XAV;
Neuquén;Aguada Chacay Co;Neuquén;Casa de Piedra;8353;Q8353XAW;
Neuquén;Aguada Chacay Co;Neuquén;Cayanta;8353;Q8353XBZ;
Neuquén;Aguada Chacay Co;Neuquén;Cerro Negro Chapua;8353;Q8353XAX;
Neuquén;Aguada Chacay Co;Neuquén;Cerro Negro Tricao;8353;Q8353XAY;
Neuquén;Aguada Chacay Co;Neuquén;Chacay Co;8353;Q8353XBA;
Neuquén;Aguada Chacay Co;Neuquén;Chacay Melehue;8353;Q8353XAZ;
Neuquén;Aguada Chacay Co;Neuquén;Chapua;8353;Q8353XAF;2948
Neuquén;Aguada Chacay Co;Neuquén;Chapua Abajo;8353;Q8353XAG;
Neuquén;Aguada Chacay Co;Neuquén;Chos Malal;8353;Buscar CPA;2948
Neuquén;Aguada Chacay Co;Neuquén;Coyuco Cochico;8353;Q8353XAH;
Neuquén;Aguada Chacay Co;Neuquén;Cura Co;8353;Q8353XDJ;
Neuquén;Aguada Chacay Co;Neuquén;Curu  Leuvu;8353;Q8353XAI;
Neuquén;Aguada Chacay Co;Neuquén;El Alamito;8353;Q8353XAJ;2948
Neuquén;Aguada Chacay Co;Neuquén;El Chingue;8353;Q8353XCA;
Neuquén;Aguada Chacay Co;Neuquén;El Cholar;8353;Buscar CPA;2948
Neuquén;Aguada Chacay Co;Neuquén;El Curileo;8353;Q8353XAK;
Neuquén;Aguada Chacay Co;Neuquén;El Durazno;8353;Q8353XCB;
Neuquén;Aguada Chacay Co;Neuquén;El Porton;8353;Q8353XCY;
Neuquén;Aguada Chacay Co;Neuquén;El Tromen;8353;Q8353XBN;
Neuquén;Aguada Chacay Co;Neuquén;Filmatue;8353;Q8353XCC;
