Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Río Negro;Aguada Cecilio;Río Negro;Aguada Cecilio;8534;R8534XAF;
Río Negro;Aguada Cecilio;Río Negro;Falckner;8534;R8534XAC;
Río Negro;Aguada Cecilio;Río Negro;La Esperanza;8534;R8534XAA;
Río Negro;Aguada Cecilio;Río Negro;Ministro Ramos Mexia;8534;Buscar CPA;2934
Río Negro;Aguada Cecilio;Río Negro;Sierra Colorada;8534;Buscar CPA;2940
Río Negro;Aguada Cecilio;Río Negro;Teniente Maza Estacion Fcgr;8534;R8534XAG;
Río Negro;Aguada Cecilio;Río Negro;Treneta;8534;R8534XAB;2934
Río Negro;Aguada Cecilio;Río Negro;Yaminue;8534;R8534XAD;2934
Río Negro;Aguada de Guerra;Río Negro;Aguada de Guerra;8424;R8424XAD;
Río Negro;Aguada de Guerra;Río Negro;Caltrauna;8424;R8424XAF;
Río Negro;Aguada de Guerra;Río Negro;Cerro Abanico;8424;R8424XAE;
Río Negro;Aguada de Guerra;Río Negro;Comi Co;8424;R8424XAI;
Río Negro;Aguada de Guerra;Río Negro;Ganzu Lauquen;8424;R8424XAJ;
Río Negro;Aguada de Guerra;Río Negro;La Rinconada;8424;R8424XAA;
Río Negro;Aguada de Guerra;Río Negro;Lagunita;8424;R8424XAB;
Río Negro;Aguada de Guerra;Río Negro;Lenzaniyen;8424;R8424XAG;
Río Negro;Aguada de Guerra;Río Negro;Loma Blanca;8424;R8424XAH;
Río Negro;Aguada de Guerra;Río Negro;Los Menucos;8424;Buscar CPA;2940
Río Negro;Aguada de Guerra;Río Negro;Prahuaniyeu;8424;R8424XAC;2940
Río Negro;Aguada de Piedra;Río Negro;Aguada de Piedra;8422;R8422XAC;
Río Negro;Aguada de Piedra;Río Negro;Barril Niyeo;8422;R8422XAD;
Río Negro;Aguada de Piedra;Río Negro;Chichihuao;8422;R8422XAE;
Río Negro;Aguada de Piedra;Río Negro;El Cain;8422;R8422XAF;2940
Río Negro;Aguada de Piedra;Río Negro;Los Juncos;8422;R8422XAG;
Río Negro;Aguada de Piedra;Río Negro;Los Manantiales;8422;R8422XAH;
Río Negro;Aguada de Piedra;Río Negro;Mancullique;8422;R8422XAI;
Río Negro;Aguada de Piedra;Río Negro;Maquinchao;8422;Buscar CPA;2940
Río Negro;Aguada de Piedra;Río Negro;Niluan;8422;R8422XAJ;
Río Negro;Aguada de Piedra;Río Negro;Rucu Luan;8422;R8422XAA;
Río Negro;Aguada de Piedra;Río Negro;Tromeniyeu;8422;R8422XAB;
Río Negro;Aguada de Piedra;Río Negro;Vaca Lauquen;8422;R8422XAK;
Río Negro;Aguada del Loro;Río Negro;Aguada del Loro;8520;R8520XAB;
Río Negro;Aguada del Loro;Río Negro;Bajo del Gualicho;8520;R8520XAG;
Río Negro;Aguada del Loro;Río Negro;Barrio Laguna;8520;R8520XAA;
Río Negro;Aguada del Loro;Río Negro;Cinco Chañares;8520;R8520XAH;
Río Negro;Aguada del Loro;Río Negro;Jagüel Campo Monte;8520;R8520XAD;
Río Negro;Aguada del Loro;Río Negro;La Bombilla;8520;R8520XAI;
Río Negro;Aguada del Loro;Río Negro;La Primavera;8520;R8520XAC;
Río Negro;Aguada del Loro;Río Negro;Laguna Cortes;8520;R8520XAF;
Río Negro;Aguada del Loro;Río Negro;Laguna de la Prueba;8520;R8520XAE;
Río Negro;Aguada del Loro;Río Negro;Las Maquinas;8520;R8520XAJ;
Río Negro;Aguada del Loro;Río Negro;Mancha Blanca;8520;R8520XAL;
Río Negro;Aguada del Loro;Río Negro;Percy H Scott;8520;R8520XAK;
Río Negro;Aguada del Loro;Río Negro;Pozo Moro;8520;R8520XAM;
Río Negro;Aguada del Loro;Río Negro;San Antonio Oeste;8520;Buscar CPA;2934
Río Negro;Aguada Guzman;Río Negro;Aguada Guzman;8333;Buscar CPA;298
Río Negro;Aguada Guzman;Río Negro;Alanitos;8333;R8301XAB;
Río Negro;Aguada Guzman;Río Negro;Barda Colorada;8333;R8333XAB;
Río Negro;Aguada Guzman;Río Negro;Cerro Policia;8333;R8333XAA;298
Río Negro;Aguada Guzman;Río Negro;Coronel Juan Jose Gomez;8333;Buscar CPA;
Río Negro;Aguada Guzman;Río Negro;El Cuy;8333;Buscar CPA;298
Río Negro;Aguada Guzman;Río Negro;Michi Honoca;8333;R8301XAA;
Río Negro;Aguada Guzman;Río Negro;Paso Cordova;8333;Buscar CPA;
Río Negro;Aguada Guzman;Río Negro;Planicie de Jaguelito;8333;R8333XAC;
Río Negro;Allen;Río Negro;Allen;8328;Buscar CPA;298
Río Negro;Allen;Río Negro;Barrio Norte;8328;R8328XAA;
Río Negro;Allen;Río Negro;Chacras de Allen;8328;R8328XAC;
Río Negro;Allen;Río Negro;Contralmirante M Guerrico;8328;R8328XAB;
Río Negro;Allen;Río Negro;El Manzano;8328;R8326XAA;
Río Negro;Anecon Chico;Río Negro;Anecon Chico;8418;R8418XAF;
Río Negro;Anecon Chico;Río Negro;Atraico;8418;R8418XAG;
