Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Salta;20 de Febrero;Salta;20 de Febrero;4425;A4425XBN;
Salta;20 de Febrero;Salta;Acosta;4425;A4425XAA;
Salta;20 de Febrero;Salta;Amblayo;4425;A4425XBQ;
Salta;20 de Febrero;Salta;Bodeguita;4425;A4425XAC;
Salta;20 de Febrero;Salta;Campos de Alemania;4425;A4425XAB;
Salta;20 de Febrero;Salta;Carahuasi;4425;A4425XAD;
Salta;20 de Febrero;Salta;Castañares;4425;A4425XBH;
Salta;20 de Febrero;Salta;Cerro Alemania;4425;A4425XAY;
Salta;20 de Febrero;Salta;Cevilar;4425;A4425XAE;
Salta;20 de Febrero;Salta;Coropampa;4425;A4425XAF;
Salta;20 de Febrero;Salta;Durazno;4425;A4440XAE;
Salta;20 de Febrero;Salta;El Acheral;4425;A4425XBI;
Salta;20 de Febrero;Salta;El Creston;4425;A4425XBO;
Salta;20 de Febrero;Salta;El Fraile;4425;A4425XAZ;
Salta;20 de Febrero;Salta;El Obelisco;4425;A4425XBB;
Salta;20 de Febrero;Salta;El Sapo;4425;A4425XBC;
Salta;20 de Febrero;Salta;Finca el Carmen;4425;A4425XBM;
Salta;20 de Febrero;Salta;Guachipas;4425;Buscar CPA;387
Salta;20 de Febrero;Salta;La Costa;4425;A4421XBR;
Salta;20 de Febrero;Salta;La Florida;4425;A4425XAN;
Salta;20 de Febrero;Salta;La Pampa;4425;A4425XAO;
Salta;20 de Febrero;Salta;La Poblacion;4425;A4444XAB;
Salta;20 de Febrero;Salta;La Represa;4425;A4425XBL;
Salta;20 de Febrero;Salta;La Viña;4425;A4427XBE;387
Salta;20 de Febrero;Salta;Las Curtiembres;4425;A4425XAV;
Salta;20 de Febrero;Salta;Las Juntas de Alemania;4425;A4425XBD;
Salta;20 de Febrero;Salta;Las Lechuzas;4425;A4425XBJ;
Salta;20 de Febrero;Salta;Los Castillos;4425;A4425XBE;
Salta;20 de Febrero;Salta;Los Churquis;4425;A4198XAE;
Salta;20 de Febrero;Salta;Los Sauces;4425;A4427XBF;
Salta;20 de Febrero;Salta;Mina Don Otto;4425;A4425XBR;
Salta;20 de Febrero;Salta;Morales;4425;A4425XBA;
Salta;20 de Febrero;Salta;Pampa Grande;4425;A4425XAS;
Salta;20 de Febrero;Salta;Potrerillos;4425;A4411XAT;
Salta;20 de Febrero;Salta;Redondo;4425;A4425XAT;
Salta;20 de Febrero;Salta;Rio Alemania;4425;A4425XAU;
Salta;20 de Febrero;Salta;San Roque;4425;A4193XAP;
Salta;20 de Febrero;Salta;Santa Barbara;4425;A4427XAP;
Salta;20 de Febrero;Salta;Santa Elena;4425;A4440XAH;
Salta;20 de Febrero;Salta;Sauce;4425;A4425XAJ;
Salta;20 de Febrero;Salta;Sauce Redondo;4425;A4425XAK;
Salta;20 de Febrero;Salta;Talapampa;4425;A4425XBK;
Salta;20 de Febrero;Salta;Tipa Sola;4425;A4425XAL;
Salta;20 de Febrero;Salta;Tres Cruces;4425;A4409XAL;
Salta;20 de Febrero;Salta;Vaqueria los Sauces;4425;A4425XBG;
Salta;Ablome;Salta;Ablome;4421;A4421XAV;
Salta;Ablome;Salta;Almona;4421;A4421XCB;
Salta;Ablome;Salta;Ampascachi;4421;A4421XAW;
Salta;Ablome;Salta;Bella Vista;4421;A4193XBP;
Salta;Ablome;Salta;Cabra Corral Dique;4421;A4421XAY;
Salta;Ablome;Salta;Cacho Molino;4421;A4421XAM;
Salta;Ablome;Salta;Calvimonte;4421;A4421XAN;
Salta;Ablome;Salta;Colonia el Fuerte;4421;A4421XAO;
Salta;Ablome;Salta;Coronel Moldes;4421;A4421XAZ;387
Salta;Ablome;Salta;Doctor Facundo Zuviria;4421;A4421XCD;
Salta;Ablome;Salta;El Carancho;4421;A4421XBA;
Salta;Ablome;Salta;El Carmen;4421;A4405XAR;
Salta;Ablome;Salta;El Carril;4421;Buscar CPA;387
Salta;Ablome;Salta;El Leoncito;4421;A4421XAA;
Salta;Ablome;Salta;El Potrero de Diaz;4421;A4421XAQ;
Salta;Ablome;Salta;El Simbolar;4421;A4421XAR;
Salta;Ablome;Salta;Escoipe;4421;A4421XAT;
Salta;Ablome;Salta;Estacion Zuviria;4421;A4421XAU;
Salta;Ablome;Salta;Gualiana;4421;A4421XBN;
Salta;Ablome;Salta;Kilometro 1176 300;4421;A4421XBU;
Salta;Ablome;Salta;La Argentina;4421;A4421XBO;
Salta;Ablome;Salta;La Armonia;4421;A4444XAI;
Salta;Ablome;Salta;La Bodega;4421;A4421XBQ;
Salta;Ablome;Salta;La Bodeguita;4421;A4421XBZ;
Salta;Ablome;Salta;La Costa;4421;A4421XBR;
Salta;Ablome;Salta;La Merced;4421;A4427XAS;387
Salta;Ablome;Salta;La Toma;4421;A4530XAX;
Salta;Ablome;Salta;Las Cañas;4421;A4421XBS;
Salta;Ablome;Salta;Las Garzas;4421;A4421XAL;
Salta;Ablome;Salta;Las Mercedes;4421;A4193XBR;
Salta;Ablome;Salta;Las Pircas;4421;A4421XAC;
Salta;Ablome;Salta;Las Tienditas;4421;A4421XAD;
Salta;Ablome;Salta;Osma;4421;A4421XBT;
Salta;Ablome;Salta;Paso del Rio;4421;A4421XBC;
Salta;Ablome;Salta;Peñas Azules;4421;A4421XBD;
Salta;Ablome;Salta;Piedra del Molino;4421;A4421XAS;
Salta;Ablome;Salta;Piedras Moradas;4421;A4421XBE;
Salta;Ablome;Salta;Puente de Diaz;4421;A4421XBF;
Salta;Ablome;Salta;Quisca Loro;4421;A4421XBG;
Salta;Ablome;Salta;Retiro;4421;A4421XBH;
Salta;Ablome;Salta;Saladillo de Osma;4421;A4421XBI;
Salta;Ablome;Salta;San Agustin;4421;A4193XAB;387
Salta;Ablome;Salta;San Antonio Chicoana;4421;A4421XAI;
