Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
San Juan;9 de Julio;San Juan;9 de Julio;5417;Buscar CPA;264
San Juan;9 de Julio;San Juan;Aeropuerto San Juan;5417;J5417XAA;
San Juan;9 de Julio;San Juan;Angaco Sud;5417;J5417XAG;
San Juan;9 de Julio;San Juan;Colonia Fiorito;5417;J5435XAB;
San Juan;9 de Julio;San Juan;Finca Zapata;5417;J5417XAC;
San Juan;9 de Julio;San Juan;La Majadita;5417;J5449XAP;2646
San Juan;9 de Julio;San Juan;Las Chacritas;5417;Buscar CPA;
San Juan;9 de Julio;San Juan;Los Quillay;5417;J5417XAF;
San Juan;9 de Julio;San Juan;Tierra Adentro;5417;J5419XAM;
San Juan;Acerillos;San Juan;Acerillos;5467;J5467XBE;
San Juan;Acerillos;San Juan;Agua de la Zanja;5467;J5467XBF;
San Juan;Acerillos;San Juan;Angualasto;5467;Buscar CPA;
San Juan;Acerillos;San Juan;Arrequintin;5467;J5467XBG;
San Juan;Acerillos;San Juan;Baños Centenario;5467;J5467XBC;
San Juan;Acerillos;San Juan;Baños de los Despoblados;5467;J5467XBI;
San Juan;Acerillos;San Juan;Baños de San Crispin;5467;J5467XBH;
San Juan;Acerillos;San Juan;Bella Vista;5467;J5460XDS;
San Juan;Acerillos;San Juan;Buena Esperanza;5467;J5467XBZ;
San Juan;Acerillos;San Juan;Cacho Ancho;5467;J5467XBL;
San Juan;Acerillos;San Juan;Cajon de los Tambillos;5467;J5467XBJ;
San Juan;Acerillos;San Juan;Campanario Nuevo;5467;J5467XCA;
San Juan;Acerillos;San Juan;Cañada;5467;J5467XCB;
San Juan;Acerillos;San Juan;Carrizalito;5467;J5467XBK;
San Juan;Acerillos;San Juan;Cerro  D  L  Bañitos;5467;J5467XCY;
San Juan;Acerillos;San Juan;Cerro Alto del Descubrimiento;5467;J5467XDT;
San Juan;Acerillos;San Juan;Cerro Amarillo;5467;J5467XDU;
San Juan;Acerillos;San Juan;Cerro Boleadora;5467;J5467XBR;
San Juan;Acerillos;San Juan;Cerro Bravo;5467;J5467XBS;
San Juan;Acerillos;San Juan;Cerro Caballo Bayo;5467;J5467XDV;
San Juan;Acerillos;San Juan;Cerro Colorado;5467;J5460XEN;
San Juan;Acerillos;San Juan;Cerro Cortadera;5467;J5467XBT;
San Juan;Acerillos;San Juan;Cerro de Conconta;5467;J5467XCZ;
San Juan;Acerillos;San Juan;Cerro de Dolores;5467;J5467XDA;
San Juan;Acerillos;San Juan;Cerro de la Cuesta del Viento;5467;J5467XDB;
San Juan;Acerillos;San Juan;Cerro de la Sepultura;5467;J5467XDX;
San Juan;Acerillos;San Juan;Cerro de los Burros;5467;J5431XAP;
San Juan;Acerillos;San Juan;Cerro del Agua de las Vacas;5467;J5467XDD;
San Juan;Acerillos;San Juan;Cerro del Alumbre;5467;J5467XDE;
San Juan;Acerillos;San Juan;Cerro del Cachiyuyal;5467;J5467XDF;
San Juan;Acerillos;San Juan;Cerro del Coquimbito;5467;J5467XCX;
San Juan;Acerillos;San Juan;Cerro del Guanaco;5467;J5467XCO;
San Juan;Acerillos;San Juan;Cerro del Salado;5467;J5467XCP;
San Juan;Acerillos;San Juan;Cerro el Bronce;5467;J5467XCQ;
San Juan;Acerillos;San Juan;Cerro el Cepo;5467;J5467XCR;
San Juan;Acerillos;San Juan;Cerro el Frances;5467;J5467XCS;
San Juan;Acerillos;San Juan;Cerro Espantajo;5467;J5467XCT;
San Juan;Acerillos;San Juan;Cerro Hediondo;5467;J5431XAR;
San Juan;Acerillos;San Juan;Cerro Iman;5467;J5460XEP;
San Juan;Acerillos;San Juan;Cerro Joaquin;5467;J5467XCW;
San Juan;Acerillos;San Juan;Cerro la Bolsa;5467;J5467XDN;
San Juan;Acerillos;San Juan;Cerro la Ortiga;5467;J5467XDO;
San Juan;Acerillos;San Juan;Cerro Lagunita;5467;J5467XDY;
San Juan;Acerillos;San Juan;Cerro las Mulitas;5467;J5467XDP;
San Juan;Acerillos;San Juan;Cerro las Raices;5467;J5467XDZ;
San Juan;Acerillos;San Juan;Cerro las Yeguas;5467;J5467XBQ;
San Juan;Acerillos;San Juan;Cerro Lavaderos;5467;J5467XDQ;
San Juan;Acerillos;San Juan;Cerro los Mogotes;5467;J5467XDR;
San Juan;Acerillos;San Juan;Cerro los Pozos;5467;J5431XAT;
San Juan;Acerillos;San Juan;Cerro Negro de Chita;5467;J5467XDG;
San Juan;Adan Quiroga;San Juan;Adan Quiroga;5409;J5409XAH;
San Juan;Adan Quiroga;San Juan;Aurora;5409;J5409XAP;
San Juan;Adan Quiroga;San Juan;Barrio Agua y Energia;5409;J5409XAQ;
San Juan;Adan Quiroga;San Juan;Barrio Colon;5409;J5409XAR;
San Juan;Adan Quiroga;San Juan;Barrio Graffigna;5409;J5409XAO;
San Juan;Adan Quiroga;San Juan;Bodega Graffigna;5409;J5409XAM;
San Juan;Adan Quiroga;San Juan;Camp D P V la Cienaga;5409;J5409XAS;
San Juan;Adan Quiroga;San Juan;Castaño;5409;J5409XAT;
San Juan;Adan Quiroga;San Juan;Cerro la Ventanita;5409;J5409XBA;
San Juan;Adan Quiroga;San Juan;Cerro Tambolar;5409;J5401XAS;
San Juan;Adan Quiroga;San Juan;Cerro Villa Loncito;5409;J5409XBC;
San Juan;Adan Quiroga;San Juan;Cienaguita;5409;J5409XAU;264
San Juan;Adan Quiroga;San Juan;Coyon;5409;J5409XAA;
San Juan;Adan Quiroga;San Juan;Cumiyango;5409;J5409XAB;
San Juan;Adan Quiroga;San Juan;El Balde;5409;J5409XAC;
San Juan;Adan Quiroga;San Juan;El Chilote;5409;J5409XBD;
San Juan;Adan Quiroga;San Juan;El Fuerte;5409;J5409XAD;
San Juan;Adan Quiroga;San Juan;El Volcan;5409;J5409XAE;
San Juan;Adan Quiroga;San Juan;Est la Cienaga de Gualila;5409;J5409XAN;
San Juan;Adan Quiroga;San Juan;Imsa;5409;J5409XBE;
San Juan;Adan Quiroga;San Juan;Ingeniero Matias G Sanchez;5409;J5409XAI;
San Juan;Adan Quiroga;San Juan;Isla del Sauce;5409;J5409XAV;
San Juan;Adan Quiroga;San Juan;Las Aguaditas;5409;J5409XAJ;
San Juan;Adan Quiroga;San Juan;Los Diaguitas;5409;J5409XAF;
San Juan;Adan Quiroga;San Juan;Mina Gualilan;5409;J5409XAW;
San Juan;Adan Quiroga;San Juan;Mogna;5409;Buscar CPA;2647
San Juan;Adan Quiroga;San Juan;Niquivil;5409;Buscar CPA;2647
San Juan;Adan Quiroga;San Juan;Niquivil Viejo;5409;J5409XAG;
San Juan;Adan Quiroga;San Juan;Portezuelo del Colorado;5409;Buscar CPA;
San Juan;Adan Quiroga;San Juan;Refugio D P V;5409;J5409XAY;
San Juan;Adan Quiroga;San Juan;Refugio los Gauchos;5409;J5409XAZ;
San Juan;Adan Quiroga;San Juan;San Roque;5409;Buscar CPA;
San Juan;Adan Quiroga;San Juan;Santa Barbara;5409;J5409XAK;
San Juan;Adan Quiroga;San Juan;Tucunuco;5409;J5409XAL;
San Juan;Adan Quiroga;San Juan;Ullum;5409;Buscar CPA;
San Juan;Agua Cercada;San Juan;Agua Cercada;5447;J5447XEB;
San Juan;Agua Cercada;San Juan;Agua Escondida;5447;J5447XAX;
San Juan;Agua Cercada;San Juan;Astica;5447;Buscar CPA;2646
San Juan;Agua Cercada;San Juan;Balde Plumerito;5447;J5447XEC;
San Juan;Agua Cercada;San Juan;Balde San Carlos;5447;J5447XED;
San Juan;Agua Cercada;San Juan;Baldes del Tarabay;5447;J5447XDD;
San Juan;Agua Cercada;San Juan;Barranca Colorada;5447;J5447XEE;
San Juan;Agua Cercada;San Juan;Barrealito;5447;J5447XDE;
San Juan;Agua Cercada;San Juan;Cañada de Laguna;5447;J5447XEF;
San Juan;Agua Cercada;San Juan;Cañada del Pozo;5447;J5447XEG;
San Juan;Agua Cercada;San Juan;Casa de Javier;5447;J5447XEH;
San Juan;Agua Cercada;San Juan;Cerro Asilan;5447;J5447XBF;
San Juan;Agua Cercada;San Juan;Cerro la Colorada;5447;J5447XBG;
San Juan;Agua Cercada;San Juan;Cerro Tres Puntas;5447;J5447XBH;
San Juan;Agua Cercada;San Juan;Chanchos;5447;J5447XEI;
San Juan;Agua Cercada;San Juan;Chica Negra;5447;J5447XEJ;
San Juan;Agua Cercada;San Juan;Chucuma;5447;J5447XEA;2646
San Juan;Agua Cercada;San Juan;Cienaga;5447;J5447XBE;
San Juan;Agua Cercada;San Juan;Condor Muerto;5447;J5447XBI;
San Juan;Agua Cercada;San Juan;Corral de Pirca;5447;J5447XCR;
San Juan;Agua Cercada;San Juan;Cuchillazo;5447;J5447XDF;
San Juan;Agua Cercada;San Juan;Cuesta Viejo;5447;J5447XCS;
San Juan;Agua Cercada;San Juan;Culebra;5447;J5447XCT;
San Juan;Agua Cercada;San Juan;Dos Mojones;5447;J5447XCU;
San Juan;Agua Cercada;San Juan;El Barrialito;5447;J5447XCV;
San Juan;Agua Cercada;San Juan;El Gigantillo;5447;J5447XDG;
San Juan;Agua Cercada;San Juan;El Lechuzo;5447;J5447XCW;
San Juan;Agua Cercada;San Juan;El Plumerito;5447;J5447XCX;
San Juan;Agua Cercada;San Juan;El Rincon;5447;J5447XCY;
San Juan;Agua Cercada;San Juan;El Salto;5447;J5447XCZ;
San Juan;Agua Cercada;San Juan;Est de Herrera Vegas;5447;J5447XDA;
San Juan;Agua Cercada;San Juan;Est Marayes;5447;J5447XDB;
San Juan;Agua Cercada;San Juan;Estancia Bajo de las Tumanas;5447;J5447XBJ;
San Juan;Agua Cercada;San Juan;Estancia el Chañar Nuevo;5447;J5447XBK;
San Juan;Agua Cercada;San Juan;Estancia el Jumeal;5447;J5447XBL;
San Juan;Agua Cercada;San Juan;Estancia el Molino;5447;J5447XBY;
San Juan;Agua Cercada;San Juan;Estancia el Polear;5447;J5447XBR;
San Juan;Agua Cercada;San Juan;Estancia Elizondo;5447;J5447XBS;
