Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
San Luis;11 de Mayo;San Luis;11 de Mayo;5701;D5701XAM;
San Luis;11 de Mayo;San Luis;9 de Julio;5701;D5757XAC;
San Luis;11 de Mayo;San Luis;Algarrobitos;5701;D5701XCN;
San Luis;11 de Mayo;San Luis;Antihuasi;5701;D5701XAY;
San Luis;11 de Mayo;San Luis;Arenilla;5701;D5701XAZ;
San Luis;11 de Mayo;San Luis;Balde de la Isla;5701;D5701XBA;
San Luis;11 de Mayo;San Luis;Buena Ventura;5701;D5701XBB;
San Luis;11 de Mayo;San Luis;Buena Vista;5701;D5701XBC;
San Luis;11 de Mayo;San Luis;Cañada Honda;5701;D5701XBD;
San Luis;11 de Mayo;San Luis;Cañada Honda de Guzman;5701;D5701XBE;
San Luis;11 de Mayo;San Luis;Carolina;5701;Buscar CPA;2651
San Luis;11 de Mayo;San Luis;Casa de Piedra;5701;D5753XCR;
San Luis;11 de Mayo;San Luis;Cerro Blanco;5701;D5731XAM;
San Luis;11 de Mayo;San Luis;Cerro de Piedra;5701;D5701XCD;
San Luis;11 de Mayo;San Luis;Cerros Largos;5701;D5701XCE;
San Luis;11 de Mayo;San Luis;Chipical;5701;D5701XCF;
San Luis;11 de Mayo;San Luis;Cruz de Caña;5701;D5701XBF;
San Luis;11 de Mayo;San Luis;Cruz de Piedra;5701;D5701XBG;
San Luis;11 de Mayo;San Luis;Cuchi Corral;5701;D5701XCI;
San Luis;11 de Mayo;San Luis;Daniel Donovan;5701;D5701XCM;
San Luis;11 de Mayo;San Luis;El Amparo;5701;D5701XBI;
San Luis;11 de Mayo;San Luis;El Arenal;5701;D5701XBJ;
San Luis;11 de Mayo;San Luis;El Chorrillo;5701;Buscar CPA;
San Luis;11 de Mayo;San Luis;El Durazno;5701;D5701XBK;266
San Luis;11 de Mayo;San Luis;El Manantial Escondido;5701;D5753XDA;
San Luis;11 de Mayo;San Luis;El Tala;5701;D5701XCG;
San Luis;11 de Mayo;San Luis;El Talita;5701;D5753XDC;
San Luis;11 de Mayo;San Luis;El Trapiche;5701;Buscar CPA;266
San Luis;11 de Mayo;San Luis;El Valle;5701;D5753XDD;
San Luis;11 de Mayo;San Luis;El Volcan;5701;D5701XCQ;266
San Luis;11 de Mayo;San Luis;Embalse la Florida;5701;D5701XAB;
San Luis;11 de Mayo;San Luis;Estancia Grande;5701;D5701XAC;
San Luis;11 de Mayo;San Luis;Gruta de Intihuasi;5701;D5701XAD;
San Luis;11 de Mayo;San Luis;Hinojito;5701;D5701XAE;
San Luis;11 de Mayo;San Luis;Intihuasi;5701;D5701XAF;
San Luis;11 de Mayo;San Luis;Isla;5701;D5873XAB;
San Luis;11 de Mayo;San Luis;Juana Koslay;5701;Buscar CPA;
San Luis;11 de Mayo;San Luis;La Alianza;5701;D5701XBL;
San Luis;11 de Mayo;San Luis;La Bajada;5701;D5701XBM;
San Luis;11 de Mayo;San Luis;La Calaguala;5701;D5701XBN;
San Luis;11 de Mayo;San Luis;La Cienaga;5701;D5701XCT;
San Luis;11 de Mayo;San Luis;La Florida;5701;D5773XBJ;
San Luis;11 de Mayo;San Luis;La Higuerita;5701;D5701XBO;
San Luis;11 de Mayo;San Luis;La Pampa;5701;D5701XCR;
San Luis;11 de Mayo;San Luis;Laguna Brava;5701;D5701XAH;
San Luis;11 de Mayo;San Luis;Las Barranquitas;5701;D5755XAN;
San Luis;11 de Mayo;San Luis;Las Chacras de San Martin;5701;D5755XAB;
San Luis;11 de Mayo;San Luis;Las Vertientes;5701;Buscar CPA;
San Luis;11 de Mayo;San Luis;Los Arroyos;5701;D5701XBP;
San Luis;11 de Mayo;San Luis;Los Carricitos;5701;D5701XBQ;
San Luis;13 de Enero;San Luis;13 de Enero;5741;D5741XAD;
San Luis;13 de Enero;San Luis;Alto Verde;5741;D5741XAQ;
San Luis;13 de Enero;San Luis;Aviador Origone;5741;D5741XAN;
San Luis;13 de Enero;San Luis;Bajos Hondos;5741;D5741XAO;
San Luis;13 de Enero;San Luis;Capelen;5741;D5741XAP;
San Luis;13 de Enero;San Luis;El Calden;5741;D5741XAE;
San Luis;13 de Enero;San Luis;La Elisa;5741;D5741XAA;
San Luis;13 de Enero;San Luis;La Flecha;5741;D5741XAB;
San Luis;13 de Enero;San Luis;La Josefina;5741;D5741XAF;
San Luis;13 de Enero;San Luis;La Palmira;5741;D5741XAG;
San Luis;13 de Enero;San Luis;La Realidad;5741;D5741XAH;
San Luis;13 de Enero;San Luis;La Silesia;5741;D5741XAI;
San Luis;13 de Enero;San Luis;Laguna Capelen;5741;D5741XAJ;
San Luis;13 de Enero;San Luis;Laguna Sayape;5741;D5741XAK;
San Luis;13 de Enero;San Luis;Nossar;5741;D5741XAL;
San Luis;13 de Enero;San Luis;Portada del Sauce;5741;D5741XAM;
San Luis;13 de Enero;San Luis;San Jose del Durazno;5741;D5741XAC;
San Luis;20 de Febrero;San Luis;20 de Febrero;5730;D5730XAO;
San Luis;20 de Febrero;San Luis;Agua del Portezuelo;5730;D5730XAH;
San Luis;20 de Febrero;San Luis;Chacra la Primavera;5730;D5730XBK;
San Luis;20 de Febrero;San Luis;Ciudad Jardin de San Luis;5730;D5730XAK;
San Luis;20 de Febrero;San Luis;Coronel Alzogaray;5730;D5730XBE;
San Luis;20 de Febrero;San Luis;El Chañar;5730;D5730XAL;
San Luis;20 de Febrero;San Luis;El Dique;5730;D5730XAM;
San Luis;20 de Febrero;San Luis;El Fortin;5730;D5730XAN;
San Luis;20 de Febrero;San Luis;Estancia el Chamico;5730;D5730XAP;
San Luis;20 de Febrero;San Luis;Estancia el Divisadero;5730;D5730XAQ;
San Luis;20 de Febrero;San Luis;Estancia el Quebrachal;5730;D5730XAR;
San Luis;20 de Febrero;San Luis;Estancia el Saucecito;5730;D5730XAS;
San Luis;20 de Febrero;San Luis;Estancia la Guardia;5730;D5730XAT;
San Luis;20 de Febrero;San Luis;Estancia la Reserva;5730;D5730XAU;
San Luis;20 de Febrero;San Luis;Estancia la Zulemita;5730;D5730XAV;
San Luis;20 de Febrero;San Luis;Estancia las Bebidas;5730;D5730XAB;
San Luis;20 de Febrero;San Luis;Estancia los Hermanos;5730;D5730XAC;
San Luis;20 de Febrero;San Luis;Estancia los Nogales;5730;D5730XAD;
San Luis;20 de Febrero;San Luis;Estancia San Alberto;5730;D5730XAE;
San Luis;20 de Febrero;San Luis;Estancia San Francisco;5730;D5730XAF;
