Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Santa Cruz;28 de Noviembre;Santa Cruz;28 de Noviembre;9407;Buscar CPA;2902
Santa Cruz;28 de Noviembre;Santa Cruz;Campamento Dorotea;9407;Z9407XAL;
Santa Cruz;28 de Noviembre;Santa Cruz;Coronel Martin Irigoyen;9407;Z9407XAH;
Santa Cruz;28 de Noviembre;Santa Cruz;El Turbio;9407;Z9407XAF;
Santa Cruz;28 de Noviembre;Santa Cruz;Gaypon;9407;Z9407XAI;
Santa Cruz;28 de Noviembre;Santa Cruz;Glencross;9407;Z9407XAG;
Santa Cruz;28 de Noviembre;Santa Cruz;Julia Dufour;9407;Z9407XAJ;
Santa Cruz;28 de Noviembre;Santa Cruz;Mina 3;9407;Z9407XAD;
Santa Cruz;28 de Noviembre;Santa Cruz;Morro Chico;9407;Z9407XAE;
Santa Cruz;28 de Noviembre;Santa Cruz;Pueblo Nuevo;9407;Z9407XAA;
Santa Cruz;28 de Noviembre;Santa Cruz;Puente Blanco;9407;Z9407XAB;
Santa Cruz;28 de Noviembre;Santa Cruz;Rincon de los Morros;9407;Z9407XAC;
Santa Cruz;28 de Noviembre;Santa Cruz;Rio Turbio;9407;Buscar CPA;2902
Santa Cruz;28 de Noviembre;Santa Cruz;Rospentek;9407;Buscar CPA;2902
Santa Cruz;28 de Noviembre;Santa Cruz;Rospentek Aike;9407;Z9407XAK;
Santa Cruz;Aguada a Pique;Santa Cruz;Aguada a Pique;9051;Z9051XAR;
Santa Cruz;Aguada a Pique;Santa Cruz;Aguada la Oveja;9051;Z9051XAS;
Santa Cruz;Aguada a Pique;Santa Cruz;Cabo Blanco;9051;Z9051XAD;
Santa Cruz;Aguada a Pique;Santa Cruz;Cabo Tres Puntas;9051;Z9051XAE;
Santa Cruz;Aguada a Pique;Santa Cruz;Cerro Puntudo;9051;Z9051XAB;
Santa Cruz;Aguada a Pique;Santa Cruz;Cerro Redondo;9051;Z9051XAT;
Santa Cruz;Aguada a Pique;Santa Cruz;El Chara;9051;Z9051XAU;
Santa Cruz;Aguada a Pique;Santa Cruz;El Hueco;9051;Z9051XAA;
Santa Cruz;Aguada a Pique;Santa Cruz;El Loro;9051;Z9051XAP;
Santa Cruz;Aguada a Pique;Santa Cruz;El Polvorin;9051;Z9051XAF;
Santa Cruz;Aguada a Pique;Santa Cruz;La Aguada;9051;Z9051XAV;
Santa Cruz;Aguada a Pique;Santa Cruz;La Central;9051;Z9051XAG;
Santa Cruz;Aguada a Pique;Santa Cruz;La Estela;9051;Z9051XAW;
Santa Cruz;Aguada a Pique;Santa Cruz;La Fecundidad;9051;Z9051XAQ;
Santa Cruz;Aguada a Pique;Santa Cruz;La Madrugada;9051;Z9051XAH;
Santa Cruz;Aguada a Pique;Santa Cruz;La Margarita;9051;Z9051XAI;
Santa Cruz;Aguada a Pique;Santa Cruz;La Protegida;9051;Z9051XAJ;
Santa Cruz;Aguada a Pique;Santa Cruz;La Rosada;9051;Z9051XAK;
Santa Cruz;Aguada a Pique;Santa Cruz;La Victoria;9051;Z9051XAN;
Santa Cruz;Aguada a Pique;Santa Cruz;La Violeta;9051;Z9051XAL;
Santa Cruz;Aguada a Pique;Santa Cruz;Mazaredo;9051;Z9051XAC;
Santa Cruz;Aguada a Pique;Santa Cruz;Sarai;9051;Z9051XAM;
Santa Cruz;Aguada a Pique;Santa Cruz;Tres Puntas;9051;Z9051XAO;
Santa Cruz;Aguada Alegre;Santa Cruz;Aguada Alegre;9310;Z9310XAA;
Santa Cruz;Aguada Alegre;Santa Cruz;Bahia Laura;9310;Z9310XAB;
Santa Cruz;Aguada Alegre;Santa Cruz;Bajo Fuego;9310;Z9310XAD;
Santa Cruz;Aguada Alegre;Santa Cruz;Cañadon 11 de Setiembre;9310;Z9310XAE;
Santa Cruz;Aguada Alegre;Santa Cruz;Lago Pueyrredon;9310;Z9310XAF;
Santa Cruz;Aguada Alegre;Santa Cruz;Puerto San Julian;9310;Buscar CPA;
Santa Cruz;Aguada Alegre;Santa Cruz;Yacimiento Cerro Vanguardia;9310;Z9310XAC;
Santa Cruz;Aguada Escondida;Santa Cruz;Aguada Escondida;9019;Z9019XAA;
Santa Cruz;Aguada Escondida;Santa Cruz;Cerro Moro;9019;Z9019XAB;
