Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Santa Fé;22 de Mayo;Santa Fé;22 de Mayo;2124;S2124XAD;
Santa Fé;22 de Mayo;Santa Fé;Coronel Aguirre;2124;S2124XAB;
Santa Fé;22 de Mayo;Santa Fé;Pueblo Nuevo;2124;S2124XAA;
Santa Fé;22 de Mayo;Santa Fé;Villa Gobernador Galvez;2124;Buscar CPA;341
Santa Fé;22 de Mayo;Santa Fé;Villa San Diego;2124;S2124XAC;
Santa Fé;4 de Febrero;Santa Fé;4 de Febrero;2732;S2732XAA;
Santa Fé;4 de Febrero;Santa Fé;El Jardin;2732;S2732XAB;
Santa Fé;4 de Febrero;Santa Fé;Elortondo;2732;Buscar CPA;3462
Santa Fé;Aaron Castellanos;Santa Fé;Aaron Castellanos;6106;S6106XAE;3382
Santa Fé;Aaron Castellanos;Santa Fé;Coronel Roseti;6106;S6106XAA;
Santa Fé;Aaron Castellanos;Santa Fé;El Alberdon;6106;S6106XAF;
Santa Fé;Aaron Castellanos;Santa Fé;Kilometro 396;6106;S6106XAB;
Santa Fé;Aaron Castellanos;Santa Fé;La Asturiana;6106;S6106XAC;
Santa Fé;Aaron Castellanos;Santa Fé;La Calma;6106;S6106XAD;
Santa Fé;Aaron Castellanos;Santa Fé;Las Dos Angelitas;6106;S6106XAG;
Santa Fé;Aaron Castellanos;Santa Fé;Miramar;6106;S6106XAI;
Santa Fé;Aaron Castellanos;Santa Fé;San Carlos;6106;S6106XAH;
Santa Fé;Aaron Castellanos;Santa Fé;Santa Paula;6106;S6106XAJ;
Santa Fé;Aaron Castellanos;Santa Fé;Santa Teresa;6106;S6106XAK;3460
Santa Fé;Abipones;Santa Fé;Abipones;3042;S3042XAA;
Santa Fé;Abipones;Santa Fé;Colonia el Ochenta;3042;S3042XAB;
Santa Fé;Abipones;Santa Fé;Colonia Silva;3042;S3042XAC;
Santa Fé;Abipones;Santa Fé;La Rosa;3042;S3042XAD;
Santa Fé;Abipones;Santa Fé;Marcelino Escalada;3042;Buscar CPA;3498
Santa Fé;Abipones;Santa Fé;Ramayon;3042;Buscar CPA;3498
Santa Fé;Abipones;Santa Fé;Villa Lastenia;3042;S3042XAE;
Santa Fé;Acebal;Santa Fé;Acebal;2109;Buscar CPA;3469
Santa Fé;Acebal;Santa Fé;Campo Rueda;2109;S2109XAA;
Santa Fé;Acebal;Santa Fé;Carmen del Sauce;2109;Buscar CPA;
Santa Fé;Acebal;Santa Fé;Pavon Arriba;2109;Buscar CPA;3469
Santa Fé;Achaval Rodriguez;Santa Fé;Achaval Rodriguez;2344;S2344XAA;
Santa Fé;Achaval Rodriguez;Santa Fé;Arrufo;2344;Buscar CPA;3491
Santa Fé;Achaval Rodriguez;Santa Fé;Estancia San Francisco;2344;S2344XAD;
Santa Fé;Achaval Rodriguez;Santa Fé;Hugentobler;2344;S2344XAB;
Santa Fé;Achaval Rodriguez;Santiago del Estero;Los Porongos;2344;G2344XAA;
