Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Santiago del Estero;25 de Mayo;25 de Mayo;Santiago del Estero;4231;G4352XAA;
Santiago del Estero;25 de Mayo;25 de Mayo;Santiago del Estero;4353;G4352XAA;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;25 de Mayo de Barnegas;4205;G4205XAC;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Arbol Solo;4205;G5253XAZ;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Bella Vista;4205;G3740XBB;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Beltran Loreto;4205;G4205XAX;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Campo de Amor;4205;G4205XAY;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Chaves;4205;G4205XAJ;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;El Nerio;4205;G4205XAK;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;El Señuelo;4205;G4205XAL;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Envidia;4205;G4205XAZ;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Kilometro 55;4205;G4203XAK;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Blanca;4205;G4324XAN;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Cortadera;4205;G4205XAN;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Laura;4205;G4205XBA;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Melada;4205;G4197XAM;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Polvareda;4205;G4205XAP;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Providencia;4205;G4205XAE;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;La Viuda;4205;G4205XAF;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Laprida;4205;Buscar CPA;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Las Dos Flores;4205;G4205XBB;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Los Cerrillos;4205;G4319XAK;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Los Ralos;4205;G4205XBE;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Pampa Pozo;4205;G4189XAH;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Porongal;4205;G4205XBG;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Agustin;4205;G4206XAS;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Benito;4205;G4206XBF;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Ignacio;4205;G4206XBH;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Luis;4205;G4301XDW;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Manuel;4205;G4205XAQ;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Pastor;4205;G4205XAR;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Ramon;4205;G4322XBX;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;San Roque;4205;G4322XBB;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Santa Ana;4205;G3760XAI;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Santa Rosa de Coronel;4205;G4205XBD;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Shishi Pozo;4205;G4205XAB;
Santiago del Estero;25 de Mayo de Barnegas;Santiago del Estero;Tres Bajadas;4205;G4205XBH;
Santiago del Estero;3 de Marzo;Santiago del Estero;3 de Marzo;3766;G3763XAB;
Santiago del Estero;3 de Marzo;Santiago del Estero;Agua Dulce;3766;G3766XAE;
Santiago del Estero;3 de Marzo;Santiago del Estero;Averias;3766;G3766XAD;
Santiago del Estero;3 de Marzo;Santiago del Estero;Gualamba;3766;G3766XAF;
Santiago del Estero;3 de Marzo;Santiago del Estero;Kilometro 433;3766;G3766XAH;
Santiago del Estero;3 de Marzo;Santiago del Estero;Kilometro 454;3766;G3766XAG;
Santiago del Estero;3 de Marzo;Santiago del Estero;La Esmeralda;3766;G3760XAR;
Santiago del Estero;3 de Marzo;Santiago del Estero;Las Flores;3766;G3766XAI;
