Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Tierra del Fuego;Bahia Lapataia;Tierra del Fuego;Bahia Lapataia;9410;V9410XAA;
Tierra del Fuego;Bahia Lapataia;Tierra del Fuego;Estancia Harberton;9410;V9410XAB;
Tierra del Fuego;Bahia Lapataia;Tierra del Fuego;Hosteria Kaiken;9410;V9410XAC;
Tierra del Fuego;Bahia Lapataia;Tierra del Fuego;Isla de los Estados;9410;V9410XAE;
Tierra del Fuego;Bahia Lapataia;Tierra del Fuego;Ushuaia;9410;Buscar CPA;2901
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Aerea Teniente Matienzo;9411;V9411XAJ;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Aerea Vicecomod Marambio;9411;V9411XAK;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Belgrano;9411;V9411XAA;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Belgrano 2;9411;V9411XAQ;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Belgrano 3;9411;V9411XAB;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Cientifica Tte Jubany;9411;V9411XAO;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Ejercito Esperanza;9411;V9411XAD;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Ejercito Gral San Martin;9411;V9411XAC;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Ejercito Primavera;9411;V9411XAE;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Ejercito Sobral;9411;V9411XAF;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Base Orcadas;9411;V9411XAP;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Destacamento Melchior;9411;V9411XAG;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Estacion Aeronaval;9411;V9420XAI;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Estacion Cientifica Alte Brown;9411;V9411XAH;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Isla Joinville;9411;V9411XAI;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Isla Shetland del Sur;9411;V9411XAL;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Islas Georgias del Sur;9411;V9411XAM;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Islas Orcadas del Sur;9411;V9411XAN;
Tierra del Fuego;Base Aerea Teniente Matienzo;Tierra del Fuego;Islas Sandwich del Sur;9411;V9411XAR;
Tierra del Fuego;Isla Gran Malvina;Tierra del Fuego;Isla Gran Malvina;9409;V9409XAA;
Tierra del Fuego;Isla Gran Malvina;Tierra del Fuego;Isla Soledad;9409;V9409XAB;
