Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Tucumán;25 de Mayo;Tucumán;25 de Mayo;4242;T4242XAO;
Tucumán;25 de Mayo;Tucumán;9 de Julio;4242;T4242XAF;
Tucumán;25 de Mayo;Tucumán;Beltran;4242;T4242XAG;
Tucumán;25 de Mayo;Tucumán;Chalchacito;4242;T4242XAH;
Tucumán;25 de Mayo;Tucumán;Chañaritos;4242;T4242XAI;
Tucumán;25 de Mayo;Tucumán;Chilca;4242;T4242XAP;
Tucumán;25 de Mayo;Tucumán;Coco;4242;T4242XAQ;
Tucumán;25 de Mayo;Tucumán;Durazno;4242;T4242XAR;
Tucumán;25 de Mayo;Tucumán;El Paraiso;4242;T4242XAS;
Tucumán;25 de Mayo;Tucumán;El Puestito;4242;T4124XAH;
Tucumán;25 de Mayo;Tucumán;El Quebrachito;4242;T4242XAU;
Tucumán;25 de Mayo;Tucumán;El Sesteadero;4242;T4242XAV;
Tucumán;25 de Mayo;Tucumán;El Tostado;4242;T4242XAW;
Tucumán;25 de Mayo;Tucumán;Encrucijada;4242;T4242XAX;
Tucumán;25 de Mayo;Tucumán;Iguana;4242;T4242XAE;
Tucumán;25 de Mayo;Tucumán;La Cañada;4242;T4124XCZ;
Tucumán;25 de Mayo;Tucumán;La Chilca;4242;T4242XAK;
Tucumán;25 de Mayo;Tucumán;La Iguana;4242;T4242XAL;
Tucumán;25 de Mayo;Tucumán;La Zanja;4242;T4242XAA;
Tucumán;25 de Mayo;Tucumán;Lachico;4242;T4242XAN;
Tucumán;25 de Mayo;Tucumán;Las Brisas;4242;T4242XAY;
Tucumán;25 de Mayo;Tucumán;Las Talitas;4242;T4101XAC;
Tucumán;25 de Mayo;Tucumán;Los Molles;4242;T4242XBZ;
Tucumán;25 de Mayo;Tucumán;Molles;4242;T4242XBP;
Tucumán;25 de Mayo;Tucumán;Montuoso;4242;T4242XBK;
Tucumán;25 de Mayo;Tucumán;Moron;4242;T4242XBL;
Tucumán;25 de Mayo;Tucumán;Paez;4242;T4242XBM;
Tucumán;25 de Mayo;Tucumán;Pampa Pozo;4242;T4242XAB;
Tucumán;25 de Mayo;Tucumán;Pozo Hondo;4242;T4242XBN;
Tucumán;25 de Mayo;Tucumán;Puesto 9 de Julio;4242;T4242XBO;
Tucumán;25 de Mayo;Tucumán;Puesto los Avilas;4242;T4242XAZ;
Tucumán;25 de Mayo;Tucumán;Puesto los Perez;4242;T4242XBA;
Tucumán;25 de Mayo;Tucumán;Quebrachito;4242;T4242XCA;
Tucumán;25 de Mayo;Tucumán;Ramaditas;4242;T4242XBB;
Tucumán;25 de Mayo;Tucumán;Ramos;4242;T4242XBC;
Tucumán;25 de Mayo;Tucumán;Rumi Yura;4242;T4242XBD;
