nom_prov;nom_loca;cp;cpa
buenos aires;11 de septiembre;1657;Buscar CPA
buenos aires;churruca;1657;Buscar CPA
buenos aires;el libertador;1657;Buscar CPA
buenos aires;loma hermosa;1657;Buscar CPA
buenos aires;pablo podesta;1657;Buscar CPA
buenos aires;remedios de escalada;1657;Buscar CPA
buenos aires;12 de agosto;2701;B2701XAA
buenos aires;aguas corrientes;2701;B2701XAB
buenos aires;general gelly;2701;Buscar CPA
buenos aires;haras el centinela;2701;B2701XAD
buenos aires;mariano benitez;2701;B2701XAE
buenos aires;rancagua;2701;Buscar CPA
buenos aires;santa teresita pergamino;2701;B2701XAF
buenos aires;12 de octubre;6501;Buscar CPA
buenos aires;estacion provincial;6501;B6501XAC
buenos aires;laguna del cura;6501;B6501XAA
buenos aires;mulcahy;6501;B6501XAB
buenos aires;norumbega;6501;B6501XAD
buenos aires;tropezon;6501;B6501XAE
buenos aires;16 de julio;7313;B7313XAA
buenos aires;bernardo vera y pintado;7313;B7313XAB
buenos aires;coronel rodolfo bunge;7313;B7313XAD
buenos aires;el luchador;7313;B7313XAE
buenos aires;kilometro 433;7313;B7313XAC
buenos aires;la nutria;7313;B7313XAF
buenos aires;ricardo gaviña;7313;B7313XAG
buenos aires;17 de agosto;8129;Buscar CPA
buenos aires;adela saenz;8129;B8129XAA
buenos aires;felipe sola;8129;Buscar CPA
buenos aires;glorialdo;8129;B8129XAB
buenos aires;20 de junio;1761;Buscar CPA
buenos aires;pontevedra;1761;Buscar CPA
buenos aires;25 de mayo;6660;Buscar CPA
buenos aires;la tribu;6660;B6015XAE
buenos aires;laguna las mulitas;6660;B6660XAD
buenos aires;ortiz de rosas;6660;B6660XAA
buenos aires;santiago garbarini;6660;B6660XAB
buenos aires;30 de agosto;6405;Buscar CPA
buenos aires;albariño;6405;B6405XAA
buenos aires;corazzi;6405;B6405XAB
buenos aires;duhau;6405;B6405XAC
buenos aires;4 de noviembre;2707;B2705XAB
buenos aires;el jaguel;2707;B2707XAC
buenos aires;guido spano;2707;B2707XAD
buenos aires;hunter;2707;B2707XAE
buenos aires;la nacion;2707;B2707XAA
buenos aires;las saladas;2707;B2707XAB
buenos aires;9 de julio;6500;Buscar CPA
buenos aires;barrio julio de vedia;6500;B6500XAB
buenos aires;fauzon;6500;B6500XAE
buenos aires;san juan;6500;B2754XAC
buenos aires;villa diamantina;6500;B6500XAG
buenos aires;abasto;1903;Buscar CPA
buenos aires;buchanan;1903;B1903XAA
buenos aires;estacion gomez;1903;Buscar CPA
buenos aires;melchor romero;1903;Buscar CPA
buenos aires;abel;6450;B6450XAA
buenos aires;barrio obrero;6450;B6450XAB
buenos aires;pehuajo;6450;Buscar CPA
buenos aires;pueblo san esteban;6450;B6450XAD
buenos aires;rovira;6450;B6450XAC
buenos aires;santa cecilia sud;6450;B6450XAF
buenos aires;abra de hinojo;8170;B8170XAA
buenos aires;alta vista;8170;B8170XAB
buenos aires;ducos;8170;B8170XAC
buenos aires;pigue;8170;Buscar CPA
buenos aires;acassuso;1640;Buscar CPA
buenos aires;martinez;1640;Buscar CPA
buenos aires;aceilan;7003;B7003XAB
buenos aires;gardey;7003;Buscar CPA
buenos aires;maria ignacia;7003;B7003XAA
buenos aires;vela;7003;Buscar CPA
buenos aires;acevedo;2717;Buscar CPA
buenos aires;gornatti;2717;B2717XAA
buenos aires;guerrico;2717;Buscar CPA
buenos aires;juana a de la peña;2717;Buscar CPA
buenos aires;manantiales;2717;B2717XAB
buenos aires;achupallas;6627;B6627XAD
buenos aires;grisolia;6627;B6627XAA
buenos aires;haras el carmen;6627;B6627XAC
buenos aires;la victoria desvio;6627;B6627XAE
buenos aires;moll;6627;Buscar CPA
buenos aires;ramon biaus;6627;B6627XAB
buenos aires;adela;7136;B7136XAA
buenos aires;colonia escuela argentina;7136;B7136XAB
buenos aires;cuartel 6;7136;B7136XAC
buenos aires;gandara;7136;B7136XAE
buenos aires;haras san ignacio;7136;B7136XAF
buenos aires;monasterio;7136;B7136XAD
buenos aires;adela corti;8000;B8000XBC
buenos aires;bahia blanca;8000;Buscar CPA
buenos aires;choique;8000;B8000XAS
buenos aires;colonia bella vista;8000;B8000XAI
buenos aires;puerto galvan;8000;B8000XAU
buenos aires;villa buenos aires;8000;B8000XAV
buenos aires;villa cerrito;8000;B8000XAW
buenos aires;villa delfina;8000;B8000XBM
buenos aires;villa domingo pronsato;8000;B8000XAX
buenos aires;villa floresta;8000;B8000XAY
buenos aires;villa italia;8000;B7000XAR
buenos aires;villa libre;8000;B8000XAC
buenos aires;villa loreto;8000;B8000XAD
buenos aires;villa mitre;8000;B8000XAE
buenos aires;villa nocito;8000;B8000XAF
buenos aires;villa obrera;8000;B8000XAG
buenos aires;villa olga grumbein;8000;B8000XAH
buenos aires;villa sanchez elia;8000;B8000XAZ
buenos aires;adolfo alsina;6430;B6430XAA
buenos aires;carhue;6430;Buscar CPA
buenos aires;fatralo;6430;B6430XAE
buenos aires;juan v cilley;6430;B6430XAF
buenos aires;pocito;6430;B6430XAD
buenos aires;rolito estacion fcgb;6430;B6430XAI
buenos aires;villa castelar est erize;6430;B6430XAG
buenos aires;villa sauri;6430;B6430XAH
buenos aires;adolfo gonzales chaves;7513;Buscar CPA
buenos aires;el lucero;7513;B7513XAA
buenos aires;adrogue;1846;Buscar CPA
buenos aires;jose marmol;1846;Buscar CPA
buenos aires;malvinas argentinas;1846;Buscar CPA
