nom_prov_scraped_no_match;nom_loca_scraped_no_match;cp;cpa
buenos aires;ignacio correas;1909;Buscar CPA
buenos aires;fiorito;1828;Buscar CPA
buenos aires;brandsen;1980;Buscar CPA
buenos aires;costa esmeralda;7109;Buscar CPA
buenos aires;driades links;7109;Buscar CPA
buenos aires;laguna sauce grande;8150;Buscar CPA
buenos aires;villa 7 de marzo;8504;Buscar CPA
buenos aires;general o'brien;6646;Buscar CPA
buenos aires;el gavilan;7530;Buscar CPA
buenos aires;el chumbeau;7263;Buscar CPA
buenos aires;el tabare;7263;Buscar CPA
buenos aires;los gatos;7263;Buscar CPA
buenos aires;est jauregui va flandria;6706;B6706XAA
buenos aires;william morris;1686;Buscar CPA
buenos aires;villa gral savio est sanchez;2912;Buscar CPA
buenos aires;lanus este;1824;Buscar CPA
buenos aires;lanus oeste;1824;Buscar CPA
san juan;buenos aires;2754;B2754XAC
san juan;buenos aires;6500;B2754XAC
san juan;buenos aires;7401;B2754XAC
santa cruz;catamarca;4705;K4707XAM
santa cruz;catamarca;5331;K4707XAM
chaco;malbalaes lote 45 y 46;3701;Buscar CPA
chaco;colonia campo rossi;3505;Buscar CPA
chaco;colonia el tizon;3733;Buscar CPA
chaco;cuarta legua 14;3531;Buscar CPA
santiago del estero;los monteros;3712;Buscar CPA
chubut;blancuntre;9121;Buscar CPA
chubut;el chacay;9121;Buscar CPA
chubut;arroyo el mosquito;9217;Buscar CPA
chubut;lago lezana;9217;Buscar CPA
chubut;rio carrileufu;9217;Buscar CPA
chubut;villa lago rivadavia;9217;Buscar CPA
rio negro;playas doradas;8532;Buscar CPA
chubut;boquete bolson;9210;Buscar CPA
chubut;el trebol;9000;Buscar CPA
chubut;manantiales behr;9000;Buscar CPA
chubut;el colhue;9211;Buscar CPA
chubut;paraje entre rios;8431;Buscar CPA
corrientes;colonia el progreso;3450;Buscar CPA
corrientes;alejandrina;3197;Buscar CPA
corrientes;pueblo libertador;3197;Buscar CPA
corrientes;la mansion;3420;Buscar CPA
corrientes;paso naranjo;3420;Buscar CPA
corrientes;caa garay gdor virasoro;3342;Buscar CPA
corrientes;gobernador virasoro;3342;Buscar CPA
corrientes;jose rafael gomez;3342;Buscar CPA
corrientes;salinas grande;3448;Buscar CPA
corrientes;paranacito;3453;Buscar CPA
san luis;corrientes;3197;W3463XAP
san luis;corrientes;3445;W3463XAP
san luis;corrientes;3463;W3463XAP
cordoba;los chaa+-ares;5220;Buscar CPA
cordoba;las caa+-as;5216;Buscar CPA
cordoba;baa+-ado de paja;5871;Buscar CPA
cordoba;baa+-ado de soto;5285;Buscar CPA
cordoba;caa+-ada de jume;5221;Buscar CPA
cordoba;caa+-ada de mateo;5221;Buscar CPA
cordoba;caa+-ada de rio pinto;5221;Buscar CPA
cordoba;caa+-adas hondas;5221;Buscar CPA
cordoba;doctor nicasio salas oroa+-o;5221;Buscar CPA
cordoba;la portea+-a;5221;Buscar CPA
cordoba;la caa+-ada;5155;Buscar CPA
cordoba;los chaa+-ares;5212;Buscar CPA
cordoba;san francisco del chaa+-ar;5209;Buscar CPA
cordoba;las caa+-adas;5284;Buscar CPA
cordoba;dique la via+-a;5885;Buscar CPA
cordoba;el baa+-ado;5801;Buscar CPA
cordoba;las caa+-itas;5801;Buscar CPA
cordoba;alto alegrec;5121;X5121XAB
cordoba;el carmen guia+-azu;5145;Buscar CPA
cordoba;estacion general paz;5145;Buscar CPA
cordoba;cruz de caa+-a;5875;Buscar CPA
cordoba;los chaa+-aritos;5281;Buscar CPA
cordoba;tres chaa+-ares;5295;Buscar CPA
cordoba;caa+-ada de las chacras;5199;Buscar CPA
cordoba;caa+-ada de pocho;5299;Buscar CPA
cordoba;caa+-ada de salas;5299;Buscar CPA
cordoba;caa+-ada grande;5873;Buscar CPA
cordoba;los chaa+-ares;5873;Buscar CPA
cordoba;los chaa+-aritos;5873;Buscar CPA
cordoba;pozo del chaa+-ar;5873;Buscar CPA
cordoba;caa+-ada del puerto;5297;Buscar CPA
cordoba;tala caa+-ada;5297;Buscar CPA
cordoba;caa+-ada larga;5889;Buscar CPA
cordoba;la gruta;5889;Buscar CPA
cordoba;nia+-a paula;5889;Buscar CPA
cordoba;caa+-ada del tala;5859;Buscar CPA
cordoba;caa+-ada de alvarez;5819;Buscar CPA
cordoba;las pea+-as sud;5819;Buscar CPA
cordoba;caa+-ada del durazno;5196;Buscar CPA
cordoba;a'u pora;5111;Buscar CPA
cordoba;baa+-ado del fuerte;5248;Buscar CPA
cordoba;caa+-a cruz;5248;Buscar CPA
cordoba;el baa+-ado;5248;Buscar CPA
cordoba;caa+-ada de cuevas;5101;Buscar CPA
cordoba;la caa+-ada;5101;Buscar CPA
cordoba;las caa+-as;5101;Buscar CPA
cordoba;las chacras ruta 111 km 14;5101;Buscar CPA
cordoba;malaguea+-o;5101;Buscar CPA
cordoba;caa+-ada de machado;5961;Buscar CPA
cordoba;la caa+-ada;5231;Buscar CPA
cordoba;colonia caa+-adon;5137;Buscar CPA
cordoba;costa del castaa+-o;5137;Buscar CPA
cordoba;los castaa+-os;5137;Buscar CPA
cordoba;la caa+-ada;5870;Buscar CPA
cordoba;las caa+-adas;5870;Buscar CPA
cordoba;caa+-ada del sauce;5817;Buscar CPA
cordoba;las pea+-as;5817;Buscar CPA
cordoba;caa+-ada del tala;5244;Buscar CPA
cordoba;el baa+-ado;5244;Buscar CPA
cordoba;los chaa+-aritos;5125;Buscar CPA
cordoba;caa+-ada ancha santa rosa;5135;Buscar CPA
cordoba;caa+-ada de coria;5249;Buscar CPA
cordoba;estancia patia+-o;5249;Buscar CPA
cordoba;caa+-ada de las gatiadas;5291;Buscar CPA
cordoba;chaa+-ariaco;5291;Buscar CPA
cordoba;caa+-ada de luque;5229;Buscar CPA
cordoba;caa+-ada de machado sud;5963;Buscar CPA
cordoba;caa+-ada de mayo;5218;Buscar CPA
cordoba;chua+-a;5218;Buscar CPA
cordoba;la caa+-ada angosta;5218;Buscar CPA
cordoba;caa+-ada del simbol;5200;Buscar CPA
cordoba;caa+-ada del tala;5244;
cordoba;caa+-ada del tala;5859;
cordoba;caa+-ada grande;5873;
cordoba;caa+-ada grande;5891;
cordoba;caa+-ada honda;5227;
cordoba;caa+-ada honda;5280;
cordoba;caa+-ada san antonio;5131;Buscar CPA
cordoba;dolores nua+-ez del prado;5131;Buscar CPA
cordoba;espinillo nua+-ez del prado;5131;Buscar CPA
cordoba;estancia las caa+-as;5131;Buscar CPA
cordoba;nua+-ez del prado;5131;Buscar CPA
cordoba;caa+-ada verde;6275;Buscar CPA
cordoba;caa+-adon de los mogotes;5184;Buscar CPA
cordoba;chua+-a huasi;5201;Buscar CPA
cordoba;el carrizal chua+-ahuasi;5201;Buscar CPA
cordoba;la caa+-ada santa cruz;5201;Buscar CPA
cordoba;la posta chua+-aguas;5201;Buscar CPA
cordoba;las caa+-as;5201;Buscar CPA
cordoba;ordoa+-ez;2555;Buscar CPA
cordoba;cruz de caa+-a;5287;Buscar CPA
cordoba;las pea+-as;5238;Buscar CPA
cordoba;timon cruz;5129;Buscar CPA
cordoba;portea+-a;2415;Buscar CPA
cordoba;chaa+-ar viejo;5246;Buscar CPA
cordoba;churqui caa+-ada;5246;Buscar CPA
cordoba;las caa+-as;5246;Buscar CPA
cordoba;caa+-ada grande;5891;Buscar CPA
cordoba;puente del cura;5891;Buscar CPA
cordoba;chaa+-aritos;5829;Buscar CPA
cordoba;pozo del chaa+-ar;2435;Buscar CPA
cordoba;estancia el chaa+-ar;2428;Buscar CPA
cordoba;las caa+-itas;2428;Buscar CPA
cordoba;los chaa+-ares;5133;Buscar CPA
cordoba;el portea+-o;5933;Buscar CPA
cordoba;cruz de caa+-a;5287;
cordoba;cruz de caa+-a;5875;
cordoba;caa+-ada honda;5280;Buscar CPA
cordoba;despea+-aderos;5121;Buscar CPA
cordoba;el araa+-ado;5947;Buscar CPA
cordoba;el baa+-ado;5214;
cordoba;el baa+-ado;5244;
cordoba;el baa+-ado;5248;
cordoba;el baa+-ado;5801;
cordoba;san jose del saltea+-o;2563;Buscar CPA
cordoba;el parador de la montaa+-a;5197;Buscar CPA
cordoba;el baa+-ado;5214;Buscar CPA
san luis;la punilla;5831;Buscar CPA
cordoba;vicua+-a mackenna;6140;Buscar CPA
cordoba;la caa+-ada;5101;
cordoba;la caa+-ada;5155;
cordoba;la caa+-ada;5231;
cordoba;la caa+-ada;5870;
cordoba;la caa+-ada grande;5803;Buscar CPA
cordoba;caa+-ada honda;5227;Buscar CPA
cordoba;las caa+-adas;5284;
cordoba;las caa+-adas;5870;
cordoba;las caa+-as;5101;
cordoba;las caa+-as;5201;
cordoba;las caa+-as;5216;
cordoba;las caa+-as;5246;
cordoba;las caa+-itas;2428;
cordoba;las caa+-itas;5801;
cordoba;las pea+-as;5238;
cordoba;las pea+-as;5817;
cordoba;las pea+-as norte;5823;Buscar CPA
cordoba;modesto acua+-a;5823;Buscar CPA
cordoba;los chaa+-ares;5133;
cordoba;los chaa+-ares;5212;
cordoba;los chaa+-ares;5220;
cordoba;los chaa+-ares;5873;
cordoba;los chaa+-aritos;5125;
cordoba;los chaa+-aritos;5281;
cordoba;los chaa+-aritos;5873;
cordoba;pozo del chaa+-ar;2435;
cordoba;pozo del chaa+-ar;5873;
entre rios;zona delta del parana;2820;Buscar CPA
entre rios;tablada norte;3200;Buscar CPA
entre rios;tablada oeste;3200;Buscar CPA
formosa;general enrique mosconi;3636;Buscar CPA
san juan;jujuy;4643;Y4655XAD
san juan;jujuy;4655;Y4655XAD
san juan;la pampa;6354;L8212XBH
san juan;la pampa;8212;L8212XBH
la pampa;la rioja;5359;F5359XAC
la pampa;la rioja;5361;F5359XAC
santa cruz;la rioja;5301;F5470XAP
santa cruz;la rioja;5361;F5470XAP
santa cruz;la rioja;5470;F5470XAP
santa cruz;la rioja;5471;F5470XAP
mendoza;villa tulumaya;5533;Buscar CPA
mendoza;dorrego;5519;Buscar CPA
mendoza;chimbas palmira;5584;Buscar CPA
mendoza;villa nueva;5521;Buscar CPA
misiones;filemon posse;3363;Buscar CPA
misiones;campo tornquist;3315;Buscar CPA
rio negro;bahia creek;8501;Buscar CPA
rio negro;belisle coronel;8364;Buscar CPA
rio negro;las perlas;8324;Buscar CPA
rio negro;padre alejandro stefenelli;8332;Buscar CPA
san juan;salta;4193;A4193XBH
san juan;salta;4446;A4193XBH
san juan;salta;4633;A4193XBH
san luis;salta;4193;A4193XAG
san luis;salta;4449;A4193XAG
santa cruz;salta;4430;A4651XAJ
santa cruz;salta;4531;A4651XAJ
santa cruz;salta;4651;A4651XAJ
santa cruz;san benito;9400;Buscar CPA
santa cruz;charles fuhr;9405;Buscar CPA
santa cruz;los perales;9017;Buscar CPA
santa fe;granadero basilio bustos;2257;Buscar CPA
santa fe;rincon de avila;3023;Buscar CPA
santa fe;villa fredrickson;2630;Buscar CPA
santa fe;san jeronimo sud;2136;Buscar CPA
santiago del estero;el quebrachal;4225;Buscar CPA
santiago del estero;san jose oeste;4326;Buscar CPA
santiago del estero;tolosa;4319;Buscar CPA
santiago del estero;cheej;4324;Buscar CPA
santiago del estero;san jose este;4324;Buscar CPA
santiago del estero;tusca pozo san vicente;4212;Buscar CPA
la pampa;santiago del estero;3064;G4321XAE
la pampa;santiago del estero;3743;G4321XAE
la pampa;santiago del estero;4321;G4321XAE
la pampa;santiago del estero;5255;G4321XAE
la pampa;santiago del estero;5257;G4321XAE
santiago del estero;los santillan;4186;Buscar CPA
san juan;santiago del estero;3749;G5258XAE
san juan;santiago del estero;4208;G5258XAE
san juan;santiago del estero;4233;G5258XAE
san juan;santiago del estero;4238;G5258XAE
san juan;santiago del estero;4300;G5258XAE
san juan;santiago del estero;5258;G5258XAE
san luis;santiago del estero;4205;G4301XDW
san luis;santiago del estero;4230;G4301XDW
san luis;santiago del estero;4301;G4301XDW
san luis;santiago del estero;4315;G4301XDW
san luis;santiago del estero;4326;G4301XDW
san luis;santiago del estero;4351;G4301XDW
san luis;santiago del estero;4353;G4301XDW
san luis;santiago del estero;5251;G4301XDW
santa cruz;santiago del estero;4197;G4322XBC
santa cruz;santiago del estero;4301;G4322XBC
santa cruz;santiago del estero;4302;G4322XBC
santa cruz;santiago del estero;4322;G4322XBC
san juan;las chacritas;5417;Buscar CPA
san juan;portezuelo del colorado;5409;Buscar CPA
san juan;portezuelo de longomiche;5405;Buscar CPA
san juan;barrio obrero rawson;5425;Buscar CPA
san juan;el mogote;5413;Buscar CPA
san juan;portezuelo de los sombreros;5401;Buscar CPA
san juan;la bebida;5407;Buscar CPA
san luis;el trapiche;5701;Buscar CPA
san luis;desaguadero;5724;Buscar CPA
tucuman;el timbo;4101;Buscar CPA
tucuman;la salvacion;4162;Buscar CPA
entre rios;tucuman;4113;T4174XBQ
entre rios;tucuman;4166;T4174XBQ
entre rios;tucuman;4174;T4174XBQ
