id_prov;nom_prov;id_depto;nom_depto;id_loca;nom_loca;cp;cpa
1;BUENOS AIRES;129;TRES DE FEBRERO;2033;11 DE SEPTIEMBRE;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;24972;11 DE SEPTIEMBRE;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;2035;CHURRUCA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;24974;CHURRUCA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;2038;EL LIBERTADOR;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;24977;EL LIBERTADOR;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;2040;LOMA HERMOSA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;24979;LOMA HERMOSA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;2042;PABLO PODESTA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;24981;PABLO PODESTA;1657;Buscar CPA
1;BUENOS AIRES;69;LANUS;1090;REMEDIOS DE ESCALADA;1657;Buscar CPA
1;BUENOS AIRES;69;LANUS;24029;REMEDIOS DE ESCALADA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;2043;REMEDIOS DE ESCALADA;1657;Buscar CPA
1;BUENOS AIRES;129;TRES DE FEBRERO;24982;REMEDIOS DE ESCALADA;1657;Buscar CPA
1;BUENOS AIRES;94;PELLEGRINI;1500;12 DE AGOSTO;2701;B2701XAA
1;BUENOS AIRES;94;PELLEGRINI;24439;12 DE AGOSTO;2701;B2701XAA
1;BUENOS AIRES;95;PERGAMINO;1507;AGUAS CORRIENTES;2701;B2701XAB
1;BUENOS AIRES;95;PERGAMINO;24446;AGUAS CORRIENTES;2701;B2701XAB
1;BUENOS AIRES;95;PERGAMINO;1525;GENERAL GELLY;2701;Buscar CPA
