id_prov;nom_prov;id_depto;nom_depto;id_loca;nom_loca;cp;cpa
1;BUENOS AIRES;1;25 DE MAYO;1;25 DE MAYO;6660;Buscar CPA
1;BUENOS AIRES;1;25 DE MAYO;2;AGUSTIN MOSCONI;6667;Buscar CPA
1;BUENOS AIRES;1;25 DE MAYO;3;ARAUJO;6643;B6643XAA
1;BUENOS AIRES;1;25 DE MAYO;4;BLAS DURAÑONA;6661;B6661XAA
1;BUENOS AIRES;1;25 DE MAYO;5;COLONIA INCHAUSTI;6667;B6667XAA
1;BUENOS AIRES;1;25 DE MAYO;6;DEL VALLE;6509;Buscar CPA
1;BUENOS AIRES;1;25 DE MAYO;7;DESVIO GARBARINI;6509;B6509XAA
1;BUENOS AIRES;1;25 DE MAYO;8;ERNESTINA;6665;B6665XAA
1;BUENOS AIRES;1;25 DE MAYO;9;ESCUELA AGRICOLA SALESIANA;6003;B6003XAA
1;BUENOS AIRES;1;25 DE MAYO;9;ESCUELA AGRICOLA SALESIANA;6509;B6003XAA
1;BUENOS AIRES;1;25 DE MAYO;10;GOBERNADOR UGARTE;6621;Buscar CPA
1;BUENOS AIRES;1;25 DE MAYO;11;HUETEL;6511;B6511XAA
1;BUENOS AIRES;1;25 DE MAYO;12;ISLAS;6667;B6667XAB
1;BUENOS AIRES;1;25 DE MAYO;13;JUAN VELA;6663;B6663XAA
1;BUENOS AIRES;1;25 DE MAYO;14;LA GLORIA;6665;B6665XAC
1;BUENOS AIRES;1;25 DE MAYO;15;LA RABIA;6667;B6667XAC
1;BUENOS AIRES;1;25 DE MAYO;17;LA TRIBU;6015;B6015XAE
1;BUENOS AIRES;1;25 DE MAYO;17;LA TRIBU;6660;B6015XAE
1;BUENOS AIRES;1;25 DE MAYO;18;LAGUNA LAS MULITAS;6660;B6660XAD
1;BUENOS AIRES;1;25 DE MAYO;19;LUCAS MONTEVERDE;6661;B6661XAC
1;BUENOS AIRES;1;25 DE MAYO;20;MAMAGUITA;6661;B6661XAD
1;BUENOS AIRES;1;25 DE MAYO;21;MARTIN BERRAONDO;6667;B6667XAE
1;BUENOS AIRES;1;25 DE MAYO;22;NORBERTO DE LA RIESTRA;6663;Buscar CPA
1;BUENOS AIRES;1;25 DE MAYO;23;ORTIZ DE ROSAS;6660;B6660XAA
1;BUENOS AIRES;1;25 DE MAYO;24;PEDERNALES;6665;Buscar CPA
1;BUENOS AIRES;1;25 DE MAYO;25;PUEBLITOS;6661;B6661XAB
1;BUENOS AIRES;1;25 DE MAYO;26;SAN ENRIQUE;6661;B7116XAP
1;BUENOS AIRES;1;25 DE MAYO;26;SAN ENRIQUE;7116;B7116XAP
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;1846;B7203XAE
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;6643;B7203XAE
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;6665;B7203XAE
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;7203;B7203XAE
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;7635;B7203XAE
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;8136;B7203XAE
1;BUENOS AIRES;1;25 DE MAYO;28;SANTIAGO GARBARINI;6660;B6660XAB
1;BUENOS AIRES;1;25 DE MAYO;29;VALDEZ;6667;Buscar CPA
1;BUENOS AIRES;2;9 DE JULIO;30;12 DE OCTUBRE;6501;Buscar CPA
1;BUENOS AIRES;2;9 DE JULIO;31;9 DE JULIO;6500;Buscar CPA
1;BUENOS AIRES;2;9 DE JULIO;32;ALFREDO DEMARCHI;6533;B6533XAA
1;BUENOS AIRES;2;9 DE JULIO;33;AMALIA;6516;B6516XAA
1;BUENOS AIRES;2;9 DE JULIO;34;BACACAY;6516;B6516XAB
1;BUENOS AIRES;2;9 DE JULIO;35;BARRIO JULIO DE VEDIA;6500;B6500XAB
1;BUENOS AIRES;2;9 DE JULIO;36;CAMBACERES;6516;B6516XAC
1;BUENOS AIRES;2;9 DE JULIO;37;CARLOS MARIA NAON;6515;Buscar CPA
1;BUENOS AIRES;2;9 DE JULIO;38;COLONIA LAS YESCAS;6513;B6500XAD
1;BUENOS AIRES;2;9 DE JULIO;39;CORBETT;6507;B6507XAA
1;BUENOS AIRES;2;9 DE JULIO;40;DENNEHY;6516;B6516XAD
1;BUENOS AIRES;2;9 DE JULIO;41;DESVIO KILOMETRO 234;6503;B6503XAA
