Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Buenos Aires;11 de Septiembre;Buenos Aires;11 de Septiembre;1657;Buscar CPA;
Buenos Aires;11 de Septiembre;Buenos Aires;Churruca;1657;Buscar CPA;
Buenos Aires;11 de Septiembre;Buenos Aires;El Libertador;1657;Buscar CPA;
Buenos Aires;11 de Septiembre;Buenos Aires;Loma Hermosa;1657;Buscar CPA;
Buenos Aires;11 de Septiembre;Buenos Aires;Pablo Podesta;1657;Buscar CPA;
Buenos Aires;11 de Septiembre;Buenos Aires;Remedios de Escalada;1657;Buscar CPA;
Buenos Aires;12 de Agosto;Buenos Aires;12 de Agosto;2701;B2701XAA;
Buenos Aires;12 de Agosto;Buenos Aires;Aguas Corrientes;2701;B2701XAB;
Buenos Aires;12 de Agosto;Santa Fé;General Gelly;2701;Buscar CPA;2477
Buenos Aires;12 de Agosto;Buenos Aires;Haras el Centinela;2701;B2701XAD;
Buenos Aires;12 de Agosto;Buenos Aires;Mariano Benitez;2701;B2701XAE;2477
Buenos Aires;12 de Agosto;Buenos Aires;Rancagua;2701;Buscar CPA;2477
Buenos Aires;12 de Agosto;Buenos Aires;Santa Teresita Pergamino;2701;B2701XAF;
Buenos Aires;12 de Octubre;Buenos Aires;12 de Octubre;6501;Buscar CPA;2317
Buenos Aires;12 de Octubre;Buenos Aires;Estacion Provincial;6501;B6501XAC;
Buenos Aires;12 de Octubre;Buenos Aires;Laguna del Cura;6501;B6501XAA;
Buenos Aires;12 de Octubre;Buenos Aires;Mulcahy;6501;B6501XAB;
Buenos Aires;12 de Octubre;Buenos Aires;Norumbega;6501;B6501XAD;2317
Buenos Aires;12 de Octubre;Buenos Aires;Tropezon;6501;B6501XAE;2317
Buenos Aires;16 de Julio;Buenos Aires;16 de Julio;7313;B7313XAA;
Buenos Aires;16 de Julio;Buenos Aires;Bernardo Vera y Pintado;7313;B7313XAB;
Buenos Aires;16 de Julio;Buenos Aires;Coronel Rodolfo Bunge;7313;B7313XAD;
Buenos Aires;16 de Julio;Buenos Aires;El Luchador;7313;B7313XAE;
Buenos Aires;16 de Julio;Buenos Aires;Kilometro 433;7313;B7313XAC;
Buenos Aires;16 de Julio;Buenos Aires;La Nutria;7313;B7313XAF;
Buenos Aires;16 de Julio;Buenos Aires;Ricardo Gaviña;7313;B7313XAG;
Buenos Aires;17 de Agosto;Buenos Aires;17 de Agosto;8129;Buscar CPA;2924
Buenos Aires;17 de Agosto;Buenos Aires;Adela Saenz;8129;B8129XAA;
Buenos Aires;17 de Agosto;Buenos Aires;Felipe Sola;8129;Buscar CPA;2925
Buenos Aires;17 de Agosto;Buenos Aires;Glorialdo;8129;B8129XAB;
Buenos Aires;20 de Junio;Buenos Aires;20 de Junio;1761;Buscar CPA;
Buenos Aires;20 de Junio;Buenos Aires;Pontevedra;1761;Buscar CPA;220
Buenos Aires;25 de Mayo;Buenos Aires;25 de Mayo;6660;Buscar CPA;2345
Buenos Aires;25 de Mayo;Buenos Aires;La Tribu;6660;B6015XAE;
Buenos Aires;25 de Mayo;Buenos Aires;Laguna las Mulitas;6660;B6660XAD;
Buenos Aires;25 de Mayo;Buenos Aires;Ortiz de Rosas;6660;B6660XAA;
Buenos Aires;25 de Mayo;Buenos Aires;Santiago Garbarini;6660;B6660XAB;
Buenos Aires;30 de Agosto;Buenos Aires;30 de Agosto;6405;Buscar CPA;2392
Buenos Aires;30 de Agosto;Buenos Aires;Albariño;6405;B6405XAA;
Buenos Aires;30 de Agosto;Buenos Aires;Corazzi;6405;B6405XAB;
Buenos Aires;30 de Agosto;Buenos Aires;Duhau;6405;B6405XAC;
Buenos Aires;4 de Noviembre;Buenos Aires;4 de Noviembre;2707;B2705XAB;
Buenos Aires;4 de Noviembre;Buenos Aires;El Jaguel;2707;B2707XAC;
Buenos Aires;4 de Noviembre;Buenos Aires;Guido Spano;2707;B2707XAD;
Buenos Aires;4 de Noviembre;Buenos Aires;Hunter;2707;B2707XAE;
Buenos Aires;4 de Noviembre;Buenos Aires;La Nacion;2707;B2707XAA;
Buenos Aires;4 de Noviembre;Buenos Aires;Las Saladas;2707;B2707XAB;
Buenos Aires;9 de Julio;Buenos Aires;9 de Julio;6500;Buscar CPA;2317
Buenos Aires;9 de Julio;Buenos Aires;Barrio Julio de Vedia;6500;B6500XAB;
Buenos Aires;9 de Julio;Buenos Aires;Fauzon;6500;B6500XAE;
Buenos Aires;9 de Julio;Buenos Aires;San Juan;6500;B2754XAC;
Buenos Aires;9 de Julio;Buenos Aires;Villa Diamantina;6500;B6500XAG;
Buenos Aires;Abasto;Buenos Aires;Abasto;1903;Buscar CPA;221
Buenos Aires;Abasto;Buenos Aires;Buchanan;1903;B1903XAA;
Buenos Aires;Abasto;Buenos Aires;Estacion Gomez;1903;Buscar CPA;2223
Buenos Aires;Abasto;Buenos Aires;Melchor Romero;1903;Buscar CPA;
Buenos Aires;Abel;Buenos Aires;Abel;6450;B6450XAA;
Buenos Aires;Abel;Buenos Aires;Barrio Obrero;6450;B6450XAB;
Buenos Aires;Abel;Buenos Aires;Pehuajo;6450;Buscar CPA;2396
Buenos Aires;Abel;Buenos Aires;Pueblo San Esteban;6450;B6450XAD;
Buenos Aires;Abel;Buenos Aires;Rovira;6450;B6450XAC;
Buenos Aires;Abel;Buenos Aires;Santa Cecilia Sud;6450;B6450XAF;
Buenos Aires;Abra de Hinojo;Buenos Aires;Abra de Hinojo;8170;B8170XAA;
Buenos Aires;Abra de Hinojo;Buenos Aires;Alta Vista;8170;B8170XAB;
Buenos Aires;Abra de Hinojo;Buenos Aires;Ducos;8170;B8170XAC;
Buenos Aires;Abra de Hinojo;Buenos Aires;Pigue;8170;Buscar CPA;2923
Buenos Aires;Acassuso;Buenos Aires;Acassuso;1640;Buscar CPA;
Buenos Aires;Acassuso;Buenos Aires;Martinez;1640;Buscar CPA;
Buenos Aires;Aceilan;Buenos Aires;Aceilan;7003;B7003XAB;
Buenos Aires;Aceilan;Buenos Aires;Gardey;7003;Buscar CPA;249
Buenos Aires;Aceilan;Buenos Aires;Maria Ignacia;7003;B7003XAA;
Buenos Aires;Aceilan;Buenos Aires;Vela;7003;Buscar CPA;249
Buenos Aires;Acevedo;Buenos Aires;Acevedo;2717;Buscar CPA;2477
Buenos Aires;Acevedo;Buenos Aires;Gornatti;2717;B2717XAA;
Buenos Aires;Acevedo;Buenos Aires;Guerrico;2717;Buscar CPA;2477
Buenos Aires;Acevedo;Buenos Aires;Juana a de la Peña;2717;Buscar CPA;
Buenos Aires;Acevedo;Buenos Aires;Manantiales;2717;B2717XAB;
Buenos Aires;Achupallas;Buenos Aires;Achupallas;6627;B6627XAD;
Buenos Aires;Achupallas;Buenos Aires;Grisolia;6627;B6627XAA;
Buenos Aires;Achupallas;Buenos Aires;Haras el Carmen;6627;B6627XAC;
Buenos Aires;Achupallas;Buenos Aires;La Victoria Desvio;6627;B6627XAE;
Buenos Aires;Achupallas;Buenos Aires;Moll;6627;Buscar CPA;
Buenos Aires;Achupallas;Buenos Aires;Ramon Biaus;6627;B6627XAB;2346
Buenos Aires;Adela;Buenos Aires;Adela;7136;B7136XAA;
Buenos Aires;Adela;Buenos Aires;Colonia Escuela Argentina;7136;B7136XAB;
Buenos Aires;Adela;Buenos Aires;Cuartel 6;7136;B7136XAC;
Buenos Aires;Adela;Buenos Aires;Gandara;7136;B7136XAE;
Buenos Aires;Adela;Buenos Aires;Haras San Ignacio;7136;B7136XAF;
Buenos Aires;Adela;Buenos Aires;Monasterio;7136;B7136XAD;
Buenos Aires;Adela Corti;Buenos Aires;Adela Corti;8000;B8000XBC;
Buenos Aires;Adela Corti;Buenos Aires;Bahia Blanca;8000;Buscar CPA;291
Buenos Aires;Adela Corti;Buenos Aires;Choique;8000;B8000XAS;
Buenos Aires;Adela Corti;Buenos Aires;Colonia Bella Vista;8000;B8000XAI;
Buenos Aires;Adela Corti;Buenos Aires;Puerto Galvan;8000;B8000XAU;
Buenos Aires;Adela Corti;Buenos Aires;Villa Buenos Aires;8000;B8000XAV;
Buenos Aires;Adela Corti;Buenos Aires;Villa Cerrito;8000;B8000XAW;
Buenos Aires;Adela Corti;Buenos Aires;Villa Delfina;8000;B8000XBM;
Buenos Aires;Adela Corti;Buenos Aires;Villa Domingo Pronsato;8000;B8000XAX;
Buenos Aires;Adela Corti;Buenos Aires;Villa Floresta;8000;B8000XAY;
Buenos Aires;Adela Corti;Buenos Aires;Villa Italia;8000;B7000XAR;
Buenos Aires;Adela Corti;Buenos Aires;Villa Libre;8000;B8000XAC;
Buenos Aires;Adela Corti;Buenos Aires;Villa Loreto;8000;B8000XAD;
Buenos Aires;Adela Corti;Buenos Aires;Villa Mitre;8000;B8000XAE;
Buenos Aires;Adela Corti;Buenos Aires;Villa Nocito;8000;B8000XAF;
Buenos Aires;Adela Corti;Buenos Aires;Villa Obrera;8000;B8000XAG;
Buenos Aires;Adela Corti;Buenos Aires;Villa Olga Grumbein;8000;B8000XAH;
Buenos Aires;Adela Corti;Buenos Aires;Villa Sanchez Elia;8000;B8000XAZ;
Buenos Aires;Adolfo Alsina;Buenos Aires;Adolfo Alsina;6430;B6430XAA;
Buenos Aires;Adolfo Alsina;Buenos Aires;Carhue;6430;Buscar CPA;2936
Buenos Aires;Adolfo Alsina;Buenos Aires;Fatralo;6430;B6430XAE;
Buenos Aires;Adolfo Alsina;Buenos Aires;Juan V Cilley;6430;B6430XAF;
Buenos Aires;Adolfo Alsina;Buenos Aires;Pocito;6430;B6430XAD;
Buenos Aires;Adolfo Alsina;Buenos Aires;Rolito Estacion Fcgb;6430;B6430XAI;
Buenos Aires;Adolfo Alsina;Buenos Aires;Villa Castelar Est Erize;6430;B6430XAG;
Buenos Aires;Adolfo Alsina;Buenos Aires;Villa Sauri;6430;B6430XAH;
Buenos Aires;Adolfo Gonzales Chaves;Buenos Aires;Adolfo Gonzales Chaves;7513;Buscar CPA;
Buenos Aires;Adolfo Gonzales Chaves;Buenos Aires;El Lucero;7513;B7513XAA;
Buenos Aires;Adrogue;Buenos Aires;Adrogue;1846;Buscar CPA;
Buenos Aires;Adrogue;Buenos Aires;Jose Marmol;1846;Buscar CPA;
Buenos Aires;Adrogue;Buenos Aires;Malvinas Argentinas;1846;Buscar CPA;
Buenos Aires;Adrogue;Buenos Aires;San Francisco Solano;1846;Buscar CPA;
Buenos Aires;Adrogue;Buenos Aires;San Jose;1846;B7203XAE;
Buenos Aires;Agote;Buenos Aires;Agote;6608;B6600XAA;
Buenos Aires;Agote;Buenos Aires;Gowland;6608;B6608XAA;
Buenos Aires;Agote;Buenos Aires;Manuel Jose Garcia;6608;B6608XAB;
Buenos Aires;Agote;Buenos Aires;Olivera;6608;Buscar CPA;2323
Buenos Aires;Aguara;Buenos Aires;Aguara;8105;B8105XAE;
Buenos Aires;Aguara;Buenos Aires;Colonia la Merced;8105;B8105XAF;
Buenos Aires;Aguara;Buenos Aires;Gral Daniel Cerri;8105;Buscar CPA;
Buenos Aires;Aguara;Buenos Aires;Kilometro 666;8105;B8105XAB;
Buenos Aires;Aguara;Buenos Aires;Sauce Chico;8105;B8105XAD;
Buenos Aires;Aguas Verdes;Buenos Aires;Aguas Verdes;7112;B7112XAC;
Buenos Aires;Aguas Verdes;Buenos Aires;Costa Azul;7112;B7112XAD;
Buenos Aires;Aguas Verdes;Buenos Aires;La Isabel;7112;B7212XAD;
Buenos Aires;Aguas Verdes;Buenos Aires;La Posta;7112;B7112XAA;
Buenos Aires;Aguas Verdes;Buenos Aires;La Proteccion;7112;B7112XAB;
Buenos Aires;Aguirrezabala;Buenos Aires;Aguirrezabala;2915;B2915XAB;
Buenos Aires;Aguirrezabala;Buenos Aires;La Esperanza;2915;B2915XAC;
Buenos Aires;Aguirrezabala;Buenos Aires;Ramallo;2915;Buscar CPA;3407
