id_provincia;nombre_provincia;id_depto;nombre_depto;id_localidad;nombre_local;cp
1;BUENOS AIRES;1;25 DE MAYO;1;25 DE MAYO;1761
1;BUENOS AIRES;1;25 DE MAYO;2;AGUSTIN MOSCONI;6660
1;BUENOS AIRES;1;25 DE MAYO;3;ARAUJO;6405
1;BUENOS AIRES;1;25 DE MAYO;4;BLAS DURAÑONA;1776
1;BUENOS AIRES;1;25 DE MAYO;5;COLONIA INCHAUSTI;6500
1;BUENOS AIRES;1;25 DE MAYO;6;DEL VALLE;6500
1;BUENOS AIRES;1;25 DE MAYO;7;DESVIO GARBARINI;1903
1;BUENOS AIRES;1;25 DE MAYO;8;ERNESTINA;7228
1;BUENOS AIRES;1;25 DE MAYO;9;ESCUELA AGRICOLA SALESIANA;6450
1;BUENOS AIRES;1;25 DE MAYO;10;GOBERNADOR UGARTE;8170
1;BUENOS AIRES;1;25 DE MAYO;11;HUETEL;1640
1;BUENOS AIRES;1;25 DE MAYO;12;ISLAS;7003
1;BUENOS AIRES;1;25 DE MAYO;13;JUAN VELA;2717
1;BUENOS AIRES;1;25 DE MAYO;14;LA GLORIA;6627
1;BUENOS AIRES;1;25 DE MAYO;15;LA RABIA;7136
1;BUENOS AIRES;1;25 DE MAYO;16;LA RUBIA;8000
1;BUENOS AIRES;1;25 DE MAYO;17;LA TRIBU;6430
1;BUENOS AIRES;1;25 DE MAYO;18;LAGUNA LAS MULITAS;1901
1;BUENOS AIRES;1;25 DE MAYO;19;LUCAS MONTEVERDE;7513
1;BUENOS AIRES;1;25 DE MAYO;20;MAMAGUITA;1612
1;BUENOS AIRES;1;25 DE MAYO;21;MARTIN BERRAONDO;1846
1;BUENOS AIRES;1;25 DE MAYO;22;NORBERTO DE LA RIESTRA;1722
1;BUENOS AIRES;1;25 DE MAYO;23;ORTIZ DE ROSAS;1802
1;BUENOS AIRES;1;25 DE MAYO;24;PEDERNALES;6608
1;BUENOS AIRES;1;25 DE MAYO;25;PUEBLITOS;1746
1;BUENOS AIRES;1;25 DE MAYO;26;SAN ENRIQUE;8105
1;BUENOS AIRES;1;25 DE MAYO;27;SAN JOSE;2701
1;BUENOS AIRES;1;25 DE MAYO;28;SANTIAGO GARBARINI;2915
1;BUENOS AIRES;1;25 DE MAYO;29;VALDEZ;1723
1;BUENOS AIRES;1;25 DE MAYO;22940;25 DE MAYO;
1;BUENOS AIRES;1;25 DE MAYO;22941;AGUSTIN MOSCONI;
1;BUENOS AIRES;1;25 DE MAYO;22942;ARAUJO;
1;BUENOS AIRES;1;25 DE MAYO;22943;BLAS DURAÑONA;
1;BUENOS AIRES;1;25 DE MAYO;22944;COLONIA INCHAUSTI;
1;BUENOS AIRES;1;25 DE MAYO;22945;DEL VALLE;
1;BUENOS AIRES;1;25 DE MAYO;22946;DESVIO GARBARINI;
1;BUENOS AIRES;1;25 DE MAYO;22947;ERNESTINA;
1;BUENOS AIRES;1;25 DE MAYO;22948;ESCUELA AGRICOLA SALESIANA;
1;BUENOS AIRES;1;25 DE MAYO;22949;GOBERNADOR UGARTE;
1;BUENOS AIRES;1;25 DE MAYO;22950;HUETEL;
1;BUENOS AIRES;1;25 DE MAYO;22951;ISLAS;
1;BUENOS AIRES;1;25 DE MAYO;22952;JUAN VELA;
1;BUENOS AIRES;1;25 DE MAYO;22953;LA GLORIA;
1;BUENOS AIRES;1;25 DE MAYO;22954;LA RABIA;
1;BUENOS AIRES;1;25 DE MAYO;22955;LA RUBIA;
1;BUENOS AIRES;1;25 DE MAYO;22956;LA TRIBU;
1;BUENOS AIRES;1;25 DE MAYO;22957;LAGUNA LAS MULITAS;
1;BUENOS AIRES;1;25 DE MAYO;22958;LUCAS MONTEVERDE;
1;BUENOS AIRES;1;25 DE MAYO;22959;MAMAGUITA;
1;BUENOS AIRES;1;25 DE MAYO;22960;MARTIN BERRAONDO;
1;BUENOS AIRES;1;25 DE MAYO;22961;NORBERTO DE LA RIESTRA;
1;BUENOS AIRES;1;25 DE MAYO;22962;ORTIZ DE ROSAS;
1;BUENOS AIRES;1;25 DE MAYO;22963;PEDERNALES;
1;BUENOS AIRES;1;25 DE MAYO;22964;PUEBLITOS;
1;BUENOS AIRES;1;25 DE MAYO;22965;SAN ENRIQUE;
1;BUENOS AIRES;1;25 DE MAYO;22966;SAN JOSE;
1;BUENOS AIRES;1;25 DE MAYO;22967;SANTIAGO GARBARINI;
1;BUENOS AIRES;1;25 DE MAYO;22968;VALDEZ;
1;BUENOS AIRES;2;9 DE JULIO;30;12 DE OCTUBRE;6667
1;BUENOS AIRES;2;9 DE JULIO;31;9 DE JULIO;6001
1;BUENOS AIRES;2;9 DE JULIO;32;ALFREDO DEMARCHI;6001
1;BUENOS AIRES;2;9 DE JULIO;33;AMALIA;6463
1;BUENOS AIRES;2;9 DE JULIO;34;BACACAY;6437
1;BUENOS AIRES;2;9 DE JULIO;35;BARRIO JULIO DE VEDIA;6703
1;BUENOS AIRES;2;9 DE JULIO;36;CAMBACERES;6405
1;BUENOS AIRES;2;9 DE JULIO;37;CARLOS MARIA NAON;6034
1;BUENOS AIRES;2;9 DE JULIO;38;COLONIA LAS YESCAS;6634
1;BUENOS AIRES;2;9 DE JULIO;39;CORBETT;8101
1;BUENOS AIRES;2;9 DE JULIO;40;DENNEHY;8126
1;BUENOS AIRES;2;9 DE JULIO;41;DESVIO KILOMETRO 234;7406
1;BUENOS AIRES;2;9 DE JULIO;42;DUDIGNAC;1770
1;BUENOS AIRES;2;9 DE JULIO;43;EL JABALI;1987
1;BUENOS AIRES;2;9 DE JULIO;44;EL TEJAR;1864
1;BUENOS AIRES;2;9 DE JULIO;45;ESTACION PROVINCIAL;1808
1;BUENOS AIRES;2;9 DE JULIO;46;FAUZON;6437
1;BUENOS AIRES;2;9 DE JULIO;47;FRENCH;6555
1;BUENOS AIRES;2;9 DE JULIO;48;GALO LLORENTE;8117
1;BUENOS AIRES;2;9 DE JULIO;49;GERENTE CILLEY;6533
1;BUENOS AIRES;2;9 DE JULIO;50;INGENIERO DE MADRID;6531
1;BUENOS AIRES;2;9 DE JULIO;51;LA ADELA;2935
1;BUENOS AIRES;2;9 DE JULIO;52;LA AURORA;8136
1;BUENOS AIRES;2;9 DE JULIO;53;LA NIÑA;1676
1;BUENOS AIRES;2;9 DE JULIO;54;LA YESCA;1676
