id_prov;nombre_prov;id_localidad_ref;nombre_localidad;cp;id_provincia_ref
1;BUENOS AIRES;1;20 De Junio;1761;1
1;BUENOS AIRES;2;25 De Mayo;6660;1
1;BUENOS AIRES;3;30 De Agosto;6405;1
1;BUENOS AIRES;4;9 De Abril;1776;1
1;BUENOS AIRES;5;9 De Julio Estafeta Nº2;6500;1
1;BUENOS AIRES;6;9 De Julio (Partido Nueve De Julio);6500;1
1;BUENOS AIRES;7;Abasto;1903;1
1;BUENOS AIRES;8;Abbott;7228;1
1;BUENOS AIRES;9;Abel;6450;1
1;BUENOS AIRES;10;Abra De Hinojo;8170;1
1;BUENOS AIRES;11;Acassuso;1640;1
1;BUENOS AIRES;12;Aceilan;7003;1
1;BUENOS AIRES;13;Acevedo;2717;1
1;BUENOS AIRES;14;Achupallas;6627;1
1;BUENOS AIRES;15;Adela;7136;1
1;BUENOS AIRES;16;Adela Corti;8000;1
1;BUENOS AIRES;17;Adolfo Alsina;6430;1
1;BUENOS AIRES;18;Adolfo F. Orma (Apeadero F.G.B.);1901;1
1;BUENOS AIRES;19;Adolfo Gonzalez Chaves;7513;1
1;BUENOS AIRES;20;Adolfo Sourdeaux;1612;1
1;BUENOS AIRES;21;Adrogue;1846;1
1;BUENOS AIRES;22;Aerodromo Albatros;1722;1
1;BUENOS AIRES;23;Aeropuerto Ezeiza;1802;1
1;BUENOS AIRES;24;Agote;6608;1
1;BUENOS AIRES;25;Agua De Oro;1746;1
1;BUENOS AIRES;26;Aguara;8105;1
1;BUENOS AIRES;27;Aguas Corrientes;2701;1
1;BUENOS AIRES;28;Aguirrezabala;2915;1
1;BUENOS AIRES;29;Agustin Ferrari;1723;1
1;BUENOS AIRES;30;Agustin Mosconi;6667;1
1;BUENOS AIRES;31;Agustin Roca;6001;1
1;BUENOS AIRES;32;Agustina;6001;1
1;BUENOS AIRES;33;Alagon;6463;1
1;BUENOS AIRES;34;Alamos;6437;1
1;BUENOS AIRES;35;Alastuey (Apeadero F.C.G.U.);6703;1
1;BUENOS AIRES;36;Albariño;6405;1
1;BUENOS AIRES;37;Alberdi;6034;1
1;BUENOS AIRES;38;Alberti;6634;1
1;BUENOS AIRES;39;Aldea Romana;8101;1
1;BUENOS AIRES;40;Aldea San Andres;8126;1
1;BUENOS AIRES;41;Aldecon;7406;1
1;BUENOS AIRES;42;Aldo Bonzi;1770;1
1;BUENOS AIRES;43;Alegre;1987;1
1;BUENOS AIRES;44;Alejandro Korn;1864;1
1;BUENOS AIRES;45;Alejandro Petion (Apeadero Fcgr);1808;1
1;BUENOS AIRES;46;Alfa;6437;1
1;BUENOS AIRES;47;Alfalad;6555;1
1;BUENOS AIRES;48;Alferez San Martin;8117;1
1;BUENOS AIRES;49;Alfredo Demarchi;6533;1
1;BUENOS AIRES;50;Algarrobo (Colonia Mauricio, Pdo. C. Casares);6531;1
1;BUENOS AIRES;51;Algarrobo (Ing. Moneta, Pdo. San Pedro);2935;1
1;BUENOS AIRES;52;Algarrobo (Pdo.Villarino);8136;1
1;BUENOS AIRES;53;Alianza Almacenes;1676;1
1;BUENOS AIRES;54;Alianza Talleres;1676;1
1;BUENOS AIRES;55;Almacen Castro;2751;1
1;BUENOS AIRES;56;Almacen Del Descanso;2752;1
1;BUENOS AIRES;57;Almacen El Cruce;2751;1
1;BUENOS AIRES;58;Almacen La Colonia;2740;1
1;BUENOS AIRES;59;Almacen Piatti;2711;1
1;BUENOS AIRES;60;Almacenes Ffcc.Gral.San Martin;1676;1
1;BUENOS AIRES;61;Almirante Brown;1846;1
1;BUENOS AIRES;62;Almirante Irizar;1629;1
1;BUENOS AIRES;63;Almirante Solier;8109;1
1;BUENOS AIRES;64;Alsina;2938;1
1;BUENOS AIRES;65;Alta Vista;8181;1
1;BUENOS AIRES;66;Altamira;6601;1
1;BUENOS AIRES;67;Altamirano;1986;1
1;BUENOS AIRES;68;Alto Del Talar;1617;1
1;BUENOS AIRES;69;Alto Verde;2801;1
1;BUENOS AIRES;70;Altona;7303;1
1;BUENOS AIRES;71;Altos De Tristan Suarez;1806;1
1;BUENOS AIRES;72;Alvarez De Toledo;7267;1
1;BUENOS AIRES;73;Alvarez Jonte;1921;1
1;BUENOS AIRES;74;Alvaro Barros;7403;1
1;BUENOS AIRES;75;Alzaga;7021;1
1;BUENOS AIRES;76;Amalia;6516;1
1;BUENOS AIRES;77;Ambrosio P. Lezica;8508;1
1;BUENOS AIRES;78;Ameghino;6064;1
1;BUENOS AIRES;79;America;6237;1
1;BUENOS AIRES;80;Anasagasti;6607;1
1;BUENOS AIRES;81;Ancon;6451;1
1;BUENOS AIRES;82;Andant;6555;1
1;BUENOS AIRES;83;Anderson;6621;1
1;BUENOS AIRES;84;Andres Vaccarezza;6634;1
1;BUENOS AIRES;85;Aneque Grande;7011;1
1;BUENOS AIRES;86;Angel Etcheverry;1901;1
1;BUENOS AIRES;87;Antonio Carboni;7243;1
1;BUENOS AIRES;88;Antonio De Los Heros;7305;1
1;BUENOS AIRES;89;Aparicio;8158;1
1;BUENOS AIRES;90;Arana;1909;1
1;BUENOS AIRES;91;Arano;6443;1
1;BUENOS AIRES;92;Araujo;6643;1
1;BUENOS AIRES;93;Arboledas;6557;1
1;BUENOS AIRES;94;Arbuco (Desvio Fcgr);1915;1
1;BUENOS AIRES;95;Arenales;6005;1
1;BUENOS AIRES;96;Arenaza;6075;1
1;BUENOS AIRES;97;Argerich;8134;1
1;BUENOS AIRES;98;Arguedas (Desvio);8164;1
1;BUENOS AIRES;99;Arias;7163;1
1;BUENOS AIRES;100;Ariel;7301;1
1;BUENOS AIRES;101;Aristobulo Del Valle;1602;1
1;BUENOS AIRES;102;Arrecifes;2740;1
1;BUENOS AIRES;103;Arribeños;6007;1
1;BUENOS AIRES;104;Arroyo Abra Vieja;1649;1
1;BUENOS AIRES;105;Arroyo Aguaje Del Durazno;1649;1
1;BUENOS AIRES;106;Arroyo Aguas Blancas;8174;1
1;BUENOS AIRES;107;Arroyo Aguila Negra;2800;1
1;BUENOS AIRES;108;Arroyo Albarracin;1649;1
1;BUENOS AIRES;109;Arroyo Aleli;2805;1
1;BUENOS AIRES;110;Arroyo Amantes;1649;1
1;BUENOS AIRES;111;Arroyo Amarillo;1649;1
1;BUENOS AIRES;112;Arroyo Amarillo Palmas;1649;1
1;BUENOS AIRES;113;Arroyo Andresito;1649;1
1;BUENOS AIRES;114;Arroyo Angelito;1649;1
1;BUENOS AIRES;115;Arroyo Angostura;1649;1
1;BUENOS AIRES;116;Arroyo Anguilas;1649;1
1;BUENOS AIRES;117;Arroyo Animas;1649;1
1;BUENOS AIRES;118;Arroyo Animitas;1649;1
1;BUENOS AIRES;119;Arroyo Antequera;1649;1
1;BUENOS AIRES;120;Arroyo Antequerita;1649;1
1;BUENOS AIRES;121;Arroyo Arroyon;1649;1
1;BUENOS AIRES;122;Arroyo Arroyon De Felicaria;1649;1
1;BUENOS AIRES;123;Arroyo Baldosas;1649;1
1;BUENOS AIRES;124;Arroyo Baltico;1649;1
1;BUENOS AIRES;125;Arroyo Banco;1649;1
1;BUENOS AIRES;126;Arroyo Barca Grande;1649;1
1;BUENOS AIRES;127;Arroyo Boca Falsa;1649;1
1;BUENOS AIRES;128;Arroyo Borasso;1649;1
1;BUENOS AIRES;129;Arroyo Borches;1649;1
1;BUENOS AIRES;130;Arroyo Botija Falsa;2800;1
1;BUENOS AIRES;131;Arroyo Buena Vista;1649;1
1;BUENOS AIRES;132;Arroyo Burgos;2935;1
1;BUENOS AIRES;133;Arroyo Busto;1649;1
1;BUENOS AIRES;134;Arroyo Caguane;1649;1
1;BUENOS AIRES;135;Arroyo Camachito;1649;1
1;BUENOS AIRES;136;Arroyo Camacho;1649;1
1;BUENOS AIRES;137;Arroyo Canaleton;1649;1
1;BUENOS AIRES;138;Arroyo Cancha Larga;1649;1
1;BUENOS AIRES;139;Arroyo Canelon;1625;1
1;BUENOS AIRES;140;Arroyo Canelones;1649;1
1;BUENOS AIRES;141;Arroyo Capitan Chico;1649;1
1;BUENOS AIRES;142;Arroyo Capitancito;1649;1
1;BUENOS AIRES;143;Arroyo Caraballo;1649;1
